Data;Godzina;COR;CRO;CROs;CROz
20170201;1;-;137,19;137,19;137,19
20170201;2;-;135,36;135,36;135,36
20170201;3;-;133,70;133,70;133,70
20170201;4;-;134,93;134,93;134,93
20170201;5;-;135,80;135,80;135,80
20170201;6;-;155,39;155,39;155,39
20170201;7;-;186,51;186,51;186,51
20170201;8;41,79;236,00;236,00;236,00
20170201;9;41,79;233,21;233,21;233,21
20170201;10;41,79;233,21;233,21;233,21
20170201;11;41,79;233,21;233,21;233,21
20170201;12;41,79;234,22;234,22;234,22
20170201;13;41,79;234,22;234,22;234,22
20170201;14;41,79;233,21;233,21;233,21
20170201;15;41,79;233,57;233,57;233,57
20170201;16;41,79;234,22;234,22;234,22
20170201;17;41,79;251,00;251,00;251,00
20170201;18;41,79;304,82;304,82;304,82
20170201;19;41,79;234,22;234,22;234,22
20170201;20;41,79;261,59;261,59;261,59
20170201;21;41,79;233,00;233,00;233,00
20170201;22;34,13;199,99;199,99;199,99
20170201;23;-;168,52;168,52;168,52
20170201;24;-;147,60;147,60;147,60
20170202;1;-;134,37;134,37;134,37
20170202;2;-;133,97;133,97;133,97
20170202;3;-;133,45;133,45;133,45
20170202;4;-;138,32;138,32;138,32
20170202;5;-;139,40;139,40;139,40
20170202;6;-;161,00;161,00;161,00
20170202;7;-;165,25;165,25;165,25
20170202;8;41,79;223,00;223,00;223,00
20170202;9;41,79;135,18;135,18;135,18
20170202;10;41,79;154,68;154,68;154,68
20170202;11;41,79;154,68;154,68;154,68
20170202;12;41,79;222,13;222,13;222,13
20170202;13;41,79;229,82;229,82;229,82
20170202;14;41,79;200,41;200,41;200,41
20170202;15;41,79;219,43;219,43;219,43
20170202;16;41,79;230,00;230,00;230,00
20170202;17;41,79;200,11;200,11;200,11
20170202;18;41,79;219,74;219,74;219,74
20170202;19;41,79;230,00;230,00;230,00
20170202;20;41,79;230,00;230,00;230,00
20170202;21;41,79;195,46;195,46;195,46
20170202;22;32,89;192,60;192,60;192,60
20170202;23;-;150,01;150,01;150,01
20170202;24;-;148,00;148,00;148,00
20170203;1;-;151,70;151,70;151,70
20170203;2;-;140,06;140,06;140,06
20170203;3;-;139,98;139,98;139,98
20170203;4;-;140,50;140,50;140,50
20170203;5;-;139,19;139,19;139,19
20170203;6;-;160,00;160,00;160,00
20170203;7;-;180,00;180,00;180,00
20170203;8;41,79;325,06;325,06;325,06
20170203;9;41,79;795,70;795,70;795,70
20170203;10;41,79;700,00;700,00;700,00
20170203;11;41,79;700,00;700,00;700,00
20170203;12;41,79;235,37;235,37;235,37
20170203;13;41,79;235,37;235,37;235,37
20170203;14;41,79;234,37;234,37;234,37
20170203;15;41,79;234,37;234,37;234,37
20170203;16;41,79;222,00;222,00;222,00
20170203;17;41,79;223,34;223,34;223,34
20170203;18;41,79;234,19;234,19;234,19
20170203;19;41,79;234,37;234,37;234,37
20170203;20;41,79;234,22;234,22;234,22
20170203;21;40,72;193,00;193,00;193,00
20170203;22;35,76;135,77;135,77;135,77
20170203;23;-;135,77;135,77;135,77
20170203;24;-;129,52;129,52;129,52
20170204;1;-;130,40;130,40;130,40
20170204;2;-;133,00;133,00;133,00
20170204;3;-;144,89;144,89;144,89
20170204;4;-;142,89;142,89;142,89
20170204;5;-;122,66;122,66;122,66
20170204;6;-;129,00;129,00;129,00
20170204;7;-;147,73;147,73;147,73
20170204;8;-;148,89;148,89;148,89
20170204;9;-;135,41;135,41;135,41
20170204;10;-;135,55;135,55;135,55
20170204;11;-;145,50;145,50;145,50
20170204;12;-;155,04;155,04;155,04
20170204;13;-;154,85;154,85;154,85
20170204;14;-;140,00;140,00;140,00
20170204;15;-;135,54;135,54;135,54
20170204;16;-;135,55;135,55;135,55
