Data;Godzina;CRO;CROs;CROz
20230401;1;507,39;507,39;507,39
20230401;2;507,40;507,40;507,40
20230401;3;520,55;520,55;520,55
20230401;4;520,55;520,55;520,55
20230401;5;520,57;520,57;520,57
20230401;6;532,11;532,11;532,11
20230401;7;520,57;520,57;520,57
20230401;8;520,55;520,55;520,55
20230401;9;507,40;507,40;507,40
20230401;10;505,18;505,18;505,18
20230401;11;490,17;490,17;490,17
20230401;12;455,88;455,88;455,88
20230401;13;483,98;483,98;483,98
20230401;14;483,97;483,97;483,97
20230401;15;490,17;490,17;490,17
20230401;16;505,16;505,16;505,16
20230401;17;512,56;512,56;512,56
20230401;18;507,39;507,39;507,39
20230401;19;505,16;505,16;505,16
20230401;20;505,16;505,16;505,16
20230401;21;465,90;465,90;465,90
20230401;22;505,16;505,16;505,16
20230401;23;507,38;507,38;507,38
20230401;24;497,97;497,97;497,97
20230402;1;429,93;429,93;429,93
20230402;2;412,76;412,76;412,76
20230402;3;410,00;410,00;410,00
20230402;4;410,00;410,00;410,00
20230402;5;410,00;410,00;410,00
20230402;6;410,00;410,00;410,00
20230402;7;357,85;357,85;357,85
20230402;8;397,32;397,32;397,32
20230402;9;456,87;456,87;456,87
20230402;10;465,92;465,92;465,92
20230402;11;481,71;481,71;481,71
20230402;12;481,70;481,70;481,70
20230402;13;481,71;481,71;481,71
20230402;14;466,88;466,88;466,88
20230402;15;465,91;465,91;465,91
20230402;16;415,76;415,76;415,76
20230402;17;416,52;416,52;416,52
20230402;18;481,71;481,71;481,71
20230402;19;498,09;498,09;498,09
20230402;20;494,73;494,73;494,73
20230402;21;456,88;456,88;456,88
20230402;22;456,88;456,88;456,88
20230402;23;499,32;499,32;499,32
20230402;24;456,88;456,88;456,88
20230403;1;451,00;451,00;451,00
20230403;2;451,00;451,00;451,00
20230403;3;451,00;451,00;451,00
20230403;4;451,00;451,00;451,00
20230403;5;489,45;489,45;489,45
20230403;6;505,68;505,68;505,68
20230403;7;556,03;556,03;556,03
20230403;8;571,22;571,22;571,22
20230403;9;572,47;572,47;572,47
20230403;10;435,29;435,29;435,29
20230403;11;435,29;435,29;435,29
20230403;12;435,89;435,89;435,89
20230403;13;435,89;435,89;435,89
20230403;14;462,03;462,03;462,03
20230403;15;462,05;462,05;462,05
20230403;16;441,97;441,97;441,97
20230403;17;450,39;450,39;450,39
20230403;18;490,68;490,68;490,68
20230403;19;568,31;568,31;568,31
20230403;20;700,00;700,00;700,00
20230403;21;575,51;575,51;575,51
20230403;22;570,05;570,05;570,05
20230403;23;568,31;568,31;568,31
20230403;24;483,62;483,62;483,62
20230404;1;500,51;500,51;500,51
20230404;2;502,61;502,61;502,61
20230404;3;514,85;514,85;514,85
20230404;4;509,65;509,65;509,65
20230404;5;509,67;509,67;509,67
20230404;6;524,19;524,19;524,19
20230404;7;575,51;575,51;575,51
20230404;8;794,62;794,62;794,62
20230404;9;718,12;718,12;718,12
20230404;10;571,33;571,33;571,33
20230404;11;524,19;524,19;524,19
20230404;12;525,39;525,39;525,39
20230404;13;525,39;525,39;525,39
20230404;14;514,87;514,87;514,87
20230404;15;523,62;523,62;523,62
20230404;16;524,19;524,19;524,19
20230404;17;571,32;571,32;571,32
20230404;18;575,50;575,50;575,50
