Data;Godzina;CRO;CROs;CROz
20230801;1;353,22;353,22;353,22
20230801;2;386,59;386,59;386,59
20230801;3;386,59;386,59;386,59
20230801;4;390,59;390,59;390,59
20230801;5;394,59;394,59;394,59
20230801;6;390,59;390,59;390,59
20230801;7;394,59;394,59;394,59
20230801;8;376,67;376,67;376,67
20230801;9;477,07;477,07;477,07
20230801;10;664,56;664,56;664,56
20230801;11;674,72;674,72;674,72
20230801;12;410,80;410,80;410,80
20230801;13;430,19;430,19;430,19
20230801;14;375,67;375,67;375,67
20230801;15;375,40;375,40;375,40
20230801;16;376,53;376,53;376,53
20230801;17;664,56;664,56;664,56
20230801;18;430,19;430,19;430,19
20230801;19;413,21;413,21;413,21
20230801;20;622,49;622,49;622,49
20230801;21;662,61;662,61;662,61
20230801;22;392,67;392,67;392,67
20230801;23;345,52;345,52;345,52
20230801;24;338,10;338,10;338,10
20230802;1;352,35;352,35;352,35
20230802;2;363,12;363,12;363,12
20230802;3;363,12;363,12;363,12
20230802;4;379,60;379,60;379,60
20230802;5;454,65;454,65;454,65
20230802;6;453,35;453,35;453,35
20230802;7;454,65;454,65;454,65
20230802;8;460,70;460,70;460,70
20230802;9;487,42;487,42;487,42
20230802;10;447,01;447,01;447,01
20230802;11;374,55;374,55;374,55
20230802;12;343,83;343,83;343,83
20230802;13;365,20;365,20;365,20
20230802;14;343,83;343,83;343,83
20230802;15;343,83;343,83;343,83
20230802;16;370,54;370,54;370,54
20230802;17;454,64;454,64;454,64
20230802;18;409,78;409,78;409,78
20230802;19;420,00;420,00;420,00
20230802;20;566,50;566,50;566,50
20230802;21;578,21;578,21;578,21
20230802;22;420,00;420,00;420,00
20230802;23;370,06;370,06;370,06
20230802;24;343,83;343,83;343,83
20230803;1;329,02;329,02;329,02
20230803;2;273,60;273,60;273,60
20230803;3;260,11;260,11;260,11
20230803;4;273,37;273,37;273,37
20230803;5;267,93;267,93;267,93
20230803;6;328,02;328,02;328,02
20230803;7;420,30;420,30;420,30
20230803;8;436,62;436,62;436,62
20230803;9;450,57;450,57;450,57
20230803;10;450,58;450,58;450,58
20230803;11;457,96;457,96;457,96
20230803;12;452,93;452,93;452,93
20230803;13;449,10;449,10;449,10
20230803;14;441,86;441,86;441,86
20230803;15;341,86;341,86;341,86
20230803;16;388,19;388,19;388,19
20230803;17;392,29;392,29;392,29
20230803;18;442,86;442,86;442,86
20230803;19;391,07;391,07;391,07
20230803;20;450,57;450,57;450,57
20230803;21;450,57;450,57;450,57
20230803;22;450,58;450,58;450,58
20230803;23;450,57;450,57;450,57
20230803;24;442,86;442,86;442,86
20230804;1;500,21;500,21;500,21
20230804;2;496,37;496,37;496,37
