Data;Godzina;COR;CRO;CROs;CROz
20160101;1;-;76,06;76,06;76,06
20160101;2;-;74,20;74,20;74,20
20160101;3;-;72,20;72,20;72,20
20160101;4;-;72,20;72,20;72,20
20160101;5;-;72,06;72,06;72,06
20160101;6;-;72,10;72,10;72,10
20160101;7;-;72,20;72,20;72,20
20160101;8;-;72,00;72,00;72,00
20160101;9;-;72,20;72,20;72,20
20160101;10;-;85,00;85,00;85,00
20160101;11;-;140,05;140,05;140,05
20160101;12;-;140,05;140,05;140,05
20160101;13;-;142,16;142,16;142,16
20160101;14;-;142,06;142,06;142,06
20160101;15;-;140,05;140,05;140,05
20160101;16;-;142,05;142,05;142,05
20160101;17;-;130,01;130,01;130,01
20160101;18;-;142,06;142,06;142,06
20160101;19;-;141,05;141,05;141,05
20160101;20;-;142,05;142,05;142,05
20160101;21;-;140,05;140,05;140,05
20160101;22;-;130,01;130,01;130,01
20160101;23;-;134,05;134,05;134,05
20160101;24;-;103,30;103,30;103,30
20160102;1;-;72,20;72,20;72,20
20160102;2;-;72,10;72,10;72,10
20160102;3;-;72,10;72,10;72,10
20160102;4;-;72,10;72,10;72,10
20160102;5;-;72,00;72,00;72,00
20160102;6;-;72,00;72,00;72,00
20160102;7;-;72,20;72,20;72,20
20160102;8;-;100,30;100,30;100,30
20160102;9;-;100,30;100,30;100,30
20160102;10;-;120,01;120,01;120,01
20160102;11;-;142,05;142,05;142,05
20160102;12;-;130,00;130,00;130,00
20160102;13;-;105,30;105,30;105,30
20160102;14;-;107,30;107,30;107,30
20160102;15;-;104,30;104,30;104,30
20160102;16;-;130,00;130,00;130,00
20160102;17;-;145,05;145,05;145,05
20160102;18;-;162,00;162,00;162,00
20160102;19;-;144,05;144,05;144,05
20160102;20;-;142,06;142,06;142,06
20160102;21;-;143,40;143,40;143,40
20160102;22;-;154,91;154,91;154,91
20160102;23;-;135,06;135,06;135,06
20160102;24;-;135,16;135,16;135,16
20160103;1;-;134,91;134,91;134,91
20160103;2;-;132,91;132,91;132,91
20160103;3;-;85,00;85,00;85,00
20160103;4;-;130,01;130,01;130,01
20160103;5;-;130,91;130,91;130,91
20160103;6;-;133,05;133,05;133,05
20160103;7;-;136,91;136,91;136,91
20160103;8;-;157,91;157,91;157,91
20160103;9;-;158,57;158,57;158,57
20160103;10;-;159,91;159,91;159,91
20160103;11;-;163,28;163,28;163,28
20160103;12;-;163,25;163,25;163,25
20160103;13;-;163,28;163,28;163,28
20160103;14;-;163,28;163,28;163,28
20160103;15;-;164,09;164,09;164,09
20160103;16;-;165,00;165,00;165,00
20160103;17;-;179,75;179,75;179,75
20160103;18;-;178,89;178,89;178,89
20160103;19;-;177,32;177,32;177,32
20160103;20;-;194,89;194,89;194,89
20160103;21;-;177,06;177,06;177,06
20160103;22;-;165,00;165,00;165,00
20160103;23;-;160,00;160,00;160,00
20160103;24;-;157,00;157,00;157,00
20160104;1;-;132,75;132,75;132,75
20160104;2;-;136,75;136,75;136,75
20160104;3;-;132,85;132,85;132,85
20160104;4;-;132,75;132,75;132,75
20160104;5;-;136,75;136,75;136,75
20160104;6;-;159,20;159,20;159,20
20160104;7;-;163,22;163,22;163,22
20160104;8;18,05;196,28;196,28;196,28
20160104;9;20,35;212,59;212,59;212,59
20160104;10;22,52;220,97;220,97;220,97
20160104;11;27,15;230,85;230,85;230,85
20160104;12;35,52;245,65;245,65;245,65
20160104;13;41,20;267,94;267,94;267,94
20160104;14;41,20;269,08;269,08;269,08
20160104;15;35,72;245,65;245,65;245,65
20160104;16;30,89;240,89;240,89;240,89
20160104;17;41,20;286,30;286,30;286,30
20160104;18;41,20;267,80;267,80;267,80
20160104;19;40,79;266,81;266,81;266,81
20160104;20;41,20;264,82;264,82;264,82
20160104;21;32,23;245,65;245,65;245,65
20160104;22;23,41;221,63;221,63;221,63
20160104;23;-;164,89;164,89;164,89
20160104;24;-;164,77;164,77;164,77
20160105;1;-;163,72;163,72;163,72
20160105;2;-;162,42;162,42;162,42
20160105;3;-;161,35;161,35;161,35
20160105;4;-;161,35;161,35;161,35
20160105;5;-;163,20;163,20;163,20
20160105;6;-;164,75;164,75;164,75
20160105;7;-;173,22;173,22;173,22
20160105;8;38,12;241,73;241,73;241,73
20160105;9;41,20;245,65;245,65;245,65
20160105;10;41,20;252,54;252,54;252,54
20160105;11;41,20;265,39;265,39;265,39
20160105;12;41,20;370,73;370,73;370,73
20160105;13;41,20;382,26;382,26;382,26
20160105;14;41,20;330,00;330,00;330,00
20160105;15;41,20;300,00;300,00;300,00
20160105;16;41,20;300,00;300,00;300,00
20160105;17;41,20;496,09;496,09;496,09
20160105;18;41,20;631,98;631,98;631,98
20160105;19;41,20;401,84;401,84;401,84
20160105;20;41,20;371,56;371,56;371,56
20160105;21;41,20;245,65;245,65;245,65
20160105;22;36,83;230,83;230,83;230,83
20160105;23;-;177,22;177,22;177,22
20160105;24;-;172,01;172,01;172,01
20160106;1;-;164,32;164,32;164,32
20160106;2;-;164,05;164,05;164,05
20160106;3;-;164,32;164,32;164,32
20160106;4;-;164,05;164,05;164,05
20160106;5;-;164,32;164,32;164,32
20160106;6;-;163,89;163,89;163,89
20160106;7;-;160,91;160,91;160,91
20160106;8;-;163,89;163,89;163,89
20160106;9;-;164,45;164,45;164,45
20160106;10;-;186,27;186,27;186,27
20160106;11;-;194,86;194,86;194,86
20160106;12;-;197,21;197,21;197,21
20160106;13;-;197,24;197,24;197,24
20160106;14;-;197,21;197,21;197,21
20160106;15;-;193,89;193,89;193,89
20160106;16;-;197,29;197,29;197,29
20160106;17;-;198,43;198,43;198,43
20160106;18;-;199,37;199,37;199,37
20160106;19;-;203,00;203,00;203,00
20160106;20;-;197,24;197,24;197,24
20160106;21;-;174,00;174,00;174,00
20160106;22;-;164,25;164,25;164,25
20160106;23;-;161,61;161,61;161,61
20160106;24;-;160,89;160,89;160,89
20160107;1;-;133,55;133,55;133,55
20160107;2;-;133,55;133,55;133,55
20160107;3;-;133,65;133,65;133,65
20160107;4;-;133,65;133,65;133,65
20160107;5;-;133,85;133,85;133,85
20160107;6;-;161,27;161,27;161,27
20160107;7;-;164,89;164,89;164,89
20160107;8;41,20;300,00;300,00;300,00
20160107;9;41,20;463,38;463,38;463,38
20160107;10;41,20;895,37;895,37;895,37
20160107;11;41,20;836,38;836,38;836,38
20160107;12;41,20;802,60;802,60;802,60
20160107;13;41,20;718,14;718,14;718,14
20160107;14;41,20;667,47;667,47;667,47
20160107;15;41,20;427,20;427,20;427,20
20160107;16;41,20;802,48;802,48;802,48
20160107;17;41,20;1500,00;1500,00;1500,00
20160107;18;41,20;1500,00;1500,00;1500,00
20160107;19;41,20;790,04;790,04;790,04
20160107;20;41,20;456,99;456,99;456,99
20160107;21;41,20;300,00;300,00;300,00
20160107;22;35,52;238,41;238,41;238,41
20160107;23;-;167,92;167,92;167,92
20160107;24;-;168,39;168,39;168,39
20160108;1;-;159,91;159,91;159,91
20160108;2;-;157,41;157,41;157,41
20160108;3;-;133,85;133,85;133,85
20160108;4;-;133,85;133,85;133,85
20160108;5;-;133,95;133,95;133,95
20160108;6;-;136,48;136,48;136,48
20160108;7;-;161,78;161,78;161,78
20160108;8;30,55;217,25;217,25;217,25
20160108;9;40,68;238,41;238,41;238,41
20160108;10;41,20;245,68;245,68;245,68
20160108;11;41,20;245,68;245,68;245,68
20160108;12;41,20;240,57;240,57;240,57
20160108;13;41,20;240,54;240,54;240,54
20160108;14;41,20;238,41;238,41;238,41
20160108;15;41,20;240,57;240,57;240,57
20160108;16;41,20;238,44;238,44;238,44
20160108;17;41,20;175,65;175,65;175,65
20160108;18;41,20;175,55;175,55;175,55
20160108;19;41,20;175,95;175,95;175,95
20160108;20;35,85;238,44;238,44;238,44
20160108;21;32,18;149,97;149,97;149,97
20160108;22;25,98;127,10;127,10;127,10
20160108;23;-;142,60;142,60;142,60
20160108;24;-;100,30;100,30;100,30
20160109;1;-;83,75;83,75;83,75
20160109;2;-;74,70;74,70;74,70
20160109;3;-;73,50;73,50;73,50
20160109;4;-;74,00;74,00;74,00
20160109;5;-;75,30;75,30;75,30
20160109;6;-;97,10;97,10;97,10
20160109;7;-;130,01;130,01;130,01
20160109;8;-;128,10;128,10;128,10
20160109;9;-;150,05;150,05;150,05
20160109;10;-;152,05;152,05;152,05
20160109;11;-;197,21;197,21;197,21
20160109;12;-;199,34;199,34;199,34
20160109;13;-;199,34;199,34;199,34
20160109;14;-;199,34;199,34;199,34
20160109;15;-;153,05;153,05;153,05
20160109;16;-;152,05;152,05;152,05
20160109;17;-;188,38;188,38;188,38
20160109;18;-;188,38;188,38;188,38
20160109;19;-;150,74;150,74;150,74
20160109;20;-;150,74;150,74;150,74
20160109;21;-;150,54;150,54;150,54
20160109;22;-;136,60;136,60;136,60
20160109;23;-;138,05;138,05;138,05
20160109;24;-;127,80;127,80;127,80
20160110;1;-;153,60;153,60;153,60
20160110;2;-;137,05;137,05;137,05
20160110;3;-;136,05;136,05;136,05
20160110;4;-;137,05;137,05;137,05
20160110;5;-;135,06;135,06;135,06
20160110;6;-;85,00;85,00;85,00
20160110;7;-;133,05;133,05;133,05
20160110;8;-;137,05;137,05;137,05
20160110;9;-;153,00;153,00;153,00
20160110;10;-;155,60;155,60;155,60
20160110;11;-;157,05;157,05;157,05
20160110;12;-;158,11;158,11;158,11
20160110;13;-;160,82;160,82;160,82
20160110;14;-;159,82;159,82;159,82
20160110;15;-;156,89;156,89;156,89
20160110;16;-;153,00;153,00;153,00
20160110;17;-;127,20;127,20;127,20
20160110;18;-;136,60;136,60;136,60
20160110;19;-;127,00;127,00;127,00
20160110;20;-;100,30;100,30;100,30
20160110;21;-;104,30;104,30;104,30
20160110;22;-;100,30;100,30;100,30
20160110;23;-;123,00;123,00;123,00
20160110;24;-;74,90;74,90;74,90
20160111;1;-;74,20;74,20;74,20
20160111;2;-;72,20;72,20;72,20
20160111;3;-;72,20;72,20;72,20
20160111;4;-;72,20;72,20;72,20
20160111;5;-;74,30;74,30;74,30
20160111;6;-;79,30;79,30;79,30
20160111;7;-;136,11;136,11;136,11
20160111;8;41,20;127,90;127,90;127,90
20160111;9;41,20;150,64;150,64;150,64
20160111;10;41,20;224,60;224,60;224,60
20160111;11;41,20;225,60;225,60;225,60
20160111;12;41,20;235,65;235,65;235,65
20160111;13;41,20;294,88;294,88;294,88
20160111;14;41,20;299,57;299,57;299,57
20160111;15;41,20;242,78;242,78;242,78
20160111;16;41,20;290,71;290,71;290,71
20160111;17;41,20;835,23;835,23;835,23
20160111;18;41,20;855,23;855,23;855,23
20160111;19;41,20;585,50;585,50;585,50
20160111;20;41,20;235,65;235,65;235,65
20160111;21;41,20;180,55;180,55;180,55
20160111;22;41,20;136,60;136,60;136,60
20160111;23;-;137,60;137,60;137,60
20160111;24;-;133,75;133,75;133,75
20160112;1;-;133,75;133,75;133,75
20160112;2;-;133,65;133,65;133,65
20160112;3;-;130,01;130,01;130,01
20160112;4;-;133,55;133,55;133,55
20160112;5;-;133,55;133,55;133,55
20160112;6;-;133,95;133,95;133,95
20160112;7;-;159,76;159,76;159,76
20160112;8;32,97;197,00;197,00;197,00
20160112;9;41,20;228,19;228,19;228,19
20160112;10;41,20;228,19;228,19;228,19
20160112;11;41,20;217,25;217,25;217,25
20160112;12;41,20;228,51;228,51;228,51
20160112;13;41,20;231,56;231,56;231,56
20160112;14;41,20;228,19;228,19;228,19
20160112;15;41,20;220,89;220,89;220,89
20160112;16;41,20;217,00;217,00;217,00
20160112;17;41,20;264,50;264,50;264,50
20160112;18;41,20;318,88;318,88;318,88
20160112;19;41,20;179,47;179,47;179,47
20160112;20;41,20;179,47;179,47;179,47
20160112;21;41,20;150,11;150,11;150,11
20160112;22;32,27;143,40;143,40;143,40
20160112;23;-;143,40;143,40;143,40
20160112;24;-;143,40;143,40;143,40
20160113;1;-;78,30;78,30;78,30
20160113;2;-;74,40;74,40;74,40
20160113;3;-;74,90;74,90;74,90
20160113;4;-;74,30;74,30;74,30
20160113;5;-;74,50;74,50;74,50
20160113;6;-;79,30;79,30;79,30
20160113;7;-;143,40;143,40;143,40
20160113;8;32,08;150,01;150,01;150,01
20160113;9;38,24;149,91;149,91;149,91
20160113;10;41,20;149,91;149,91;149,91
20160113;11;41,20;150,00;150,00;150,00
20160113;12;41,20;150,00;150,00;150,00
20160113;13;41,20;150,00;150,00;150,00
20160113;14;41,20;150,11;150,11;150,11
20160113;15;41,20;149,91;149,91;149,91
20160113;16;41,20;150,01;150,01;150,01
20160113;17;41,20;150,00;150,00;150,00
20160113;18;41,20;150,11;150,11;150,11
20160113;19;41,20;143,40;143,40;143,40
20160113;20;41,20;136,60;136,60;136,60
20160113;21;37,10;128,20;128,20;128,20
20160113;22;27,43;128,00;128,00;128,00
20160113;23;-;127,00;127,00;127,00
20160113;24;-;77,10;77,10;77,10
20160114;1;-;78,30;78,30;78,30
20160114;2;-;74,40;74,40;74,40
20160114;3;-;74,00;74,00;74,00
20160114;4;-;74,30;74,30;74,30
20160114;5;-;78,05;78,05;78,05
20160114;6;-;85,00;85,00;85,00
20160114;7;-;156,81;156,81;156,81
20160114;8;41,20;130,00;130,00;130,00
20160114;9;41,20;148,25;148,25;148,25
20160114;10;41,20;150,00;150,00;150,00
20160114;11;41,20;143,40;143,40;143,40
20160114;12;41,20;148,25;148,25;148,25
20160114;13;41,20;148,45;148,45;148,45
20160114;14;41,20;150,00;150,00;150,00
20160114;15;41,20;150,00;150,00;150,00
20160114;16;41,20;209,39;209,39;209,39
20160114;17;41,20;179,44;179,44;179,44
20160114;18;41,20;179,44;179,44;179,44
20160114;19;41,20;158,89;158,89;158,89
20160114;20;41,20;143,40;143,40;143,40
20160114;21;41,20;127,20;127,20;127,20
20160114;22;31,73;85,00;85,00;85,00
20160114;23;-;136,27;136,27;136,27
20160114;24;-;133,65;133,65;133,65
20160115;1;-;153,89;153,89;153,89
20160115;2;-;133,85;133,85;133,85
20160115;3;-;133,75;133,75;133,75
20160115;4;-;133,75;133,75;133,75
20160115;5;-;136,38;136,38;136,38
20160115;6;-;136,28;136,28;136,28
20160115;7;-;157,19;157,19;157,19
20160115;8;35,42;200,89;200,89;200,89
20160115;9;41,20;212,06;212,06;212,06
20160115;10;41,20;173,89;173,89;173,89
20160115;11;41,20;158,89;158,89;158,89
20160115;12;41,20;150,00;150,00;150,00
20160115;13;41,20;190,18;190,18;190,18
20160115;14;41,20;173,89;173,89;173,89
20160115;15;41,20;148,45;148,45;148,45
20160115;16;41,20;148,25;148,25;148,25
20160115;17;41,20;184,22;184,22;184,22
20160115;18;41,20;184,22;184,22;184,22
20160115;19;41,20;177,63;177,63;177,63
20160115;20;40,89;150,00;150,00;150,00
20160115;21;33,03;158,89;158,89;158,89
20160115;22;25,83;126,80;126,80;126,80
20160115;23;-;155,50;155,50;155,50
20160115;24;-;136,38;136,38;136,38
20160116;1;-;157,89;157,89;157,89
20160116;2;-;153,89;153,89;153,89
20160116;3;-;135,26;135,26;135,26
20160116;4;-;135,05;135,05;135,05
20160116;5;-;128,01;128,01;128,01
20160116;6;-;128,01;128,01;128,01
20160116;7;-;128,01;128,01;128,01
20160116;8;-;100,30;100,30;100,30
20160116;9;-;143,40;143,40;143,40
20160116;10;-;158,89;158,89;158,89
20160116;11;-;200,76;200,76;200,76
20160116;12;-;214,00;214,00;214,00
20160116;13;-;200,46;200,46;200,46
20160116;14;-;193,63;193,63;193,63
20160116;15;-;168,89;168,89;168,89
20160116;16;-;158,89;158,89;158,89
20160116;17;-;184,63;184,63;184,63
20160116;18;-;193,66;193,66;193,66
20160116;19;-;184,63;184,63;184,63
20160116;20;-;193,66;193,66;193,66
20160116;21;-;158,89;158,89;158,89
20160116;22;-;158,89;158,89;158,89
20160116;23;-;143,40;143,40;143,40
20160116;24;-;153,89;153,89;153,89
20160117;1;-;129,01;129,01;129,01
