Data;Godzina;COR;CRO;CROs;CROz
20160401;1;-;126,80;126,80;126,80
20160401;2;-;75,40;75,40;75,40
20160401;3;-;85,00;85,00;85,00
20160401;4;-;128,13;128,13;128,13
20160401;5;-;128,33;128,33;128,33
20160401;6;-;145,60;145,60;145,60
20160401;7;-;147,70;147,70;147,70
20160401;8;24,31;188,57;188,57;188,57
20160401;9;25,85;189,90;189,90;189,90
20160401;10;27,13;187,00;187,00;187,00
20160401;11;25,43;186,00;186,00;186,00
20160401;12;24,92;127,10;127,10;127,10
20160401;13;23,93;126,70;126,70;126,70
20160401;14;23,04;77,90;77,90;77,90
20160401;15;21,56;75,40;75,40;75,40
20160401;16;20,94;75,00;75,00;75,00
20160401;17;20,59;75,20;75,20;75,20
20160401;18;20,76;75,00;75,00;75,00
20160401;19;20,78;75,20;75,20;75,20
20160401;20;23,68;127,70;127,70;127,70
20160401;21;26,87;128,10;128,10;128,10
20160401;22;21,83;85,00;85,00;85,00
20160401;23;-;128,00;128,00;128,00
20160401;24;-;127,54;127,54;127,54
20160402;1;-;126,94;126,94;126,94
20160402;2;-;126,80;126,80;126,80
20160402;3;-;126,70;126,70;126,70
20160402;4;-;124,30;124,30;124,30
20160402;5;-;126,63;126,63;126,63
20160402;6;-;100,00;100,00;100,00
20160402;7;-;115,00;115,00;115,00
20160402;8;-;127,70;127,70;127,70
20160402;9;-;138,45;138,45;138,45
20160402;10;-;138,65;138,65;138,65
20160402;11;-;144,89;144,89;144,89
20160402;12;-;144,89;144,89;144,89
20160402;13;-;138,65;138,65;138,65
20160402;14;-;138,45;138,45;138,45
20160402;15;-;138,45;138,45;138,45
20160402;16;-;127,10;127,10;127,10
20160402;17;-;111,55;111,55;111,55
20160402;18;-;100,00;100,00;100,00
20160402;19;-;123,45;123,45;123,45
20160402;20;-;139,89;139,89;139,89
20160402;21;-;144,89;144,89;144,89
20160402;22;-;127,90;127,90;127,90
20160402;23;-;77,10;77,10;77,10
20160402;24;-;72,20;72,20;72,20
20160403;1;-;72,20;72,20;72,20
20160403;2;-;72,00;72,00;72,00
20160403;3;-;71,40;71,40;71,40
20160403;4;-;71,20;71,20;71,20
20160403;5;-;71,40;71,40;71,40
20160403;6;-;71,70;71,70;71,70
20160403;7;-;72,10;72,10;72,10
20160403;8;-;73,40;73,40;73,40
20160403;9;-;127,10;127,10;127,10
20160403;10;-;147,29;147,29;147,29
20160403;11;-;170,33;170,33;170,33
20160403;12;-;153,00;153,00;153,00
20160403;13;-;149,69;149,69;149,69
20160403;14;-;147,29;147,29;147,29
20160403;15;-;139,89;139,89;139,89
