Data;Godzina;COR;CRO;CROs;CROz
20160801;1;-;85,00;85,00;85,00
20160801;2;-;74,50;74,50;74,50
20160801;3;-;72,20;72,20;72,20
20160801;4;-;72,20;72,20;72,20
20160801;5;-;72,20;72,20;72,20
20160801;6;-;100,00;100,00;100,00
20160801;7;-;115,00;115,00;115,00
20160801;8;20,94;77,30;77,30;77,30
20160801;9;20,74;85,00;85,00;85,00
20160801;10;21,61;125,00;125,00;125,00
20160801;11;20,79;110,89;110,89;110,89
20160801;12;22,17;125,00;125,00;125,00
20160801;13;22,84;125,00;125,00;125,00
20160801;14;23,94;125,00;125,00;125,00
20160801;15;22,34;100,00;100,00;100,00
20160801;16;21,59;85,00;85,00;85,00
20160801;17;20,93;85,00;85,00;85,00
20160801;18;20,57;77,80;77,80;77,80
20160801;19;20,57;80,89;80,89;80,89
20160801;20;21,59;113,89;113,89;113,89
20160801;21;21,67;127,20;127,20;127,20
20160801;22;21,86;128,20;128,20;128,20
20160801;23;-;127,10;127,10;127,10
20160801;24;-;115,00;115,00;115,00
20160802;1;-;104,95;104,95;104,95
20160802;2;-;85,00;85,00;85,00
20160802;3;-;95,91;95,91;95,91
20160802;4;-;74,50;74,50;74,50
20160802;5;-;73,90;73,90;73,90
20160802;6;-;85,00;85,00;85,00
20160802;7;-;131,00;131,00;131,00
20160802;8;20,36;108,01;108,01;108,01
20160802;9;22,76;126,90;126,90;126,90
20160802;10;24,35;181,00;181,00;181,00
20160802;11;24,31;183,00;183,00;183,00
20160802;12;27,71;191,41;191,41;191,41
20160802;13;28,25;188,00;188,00;188,00
20160802;14;26,38;127,10;127,10;127,10
20160802;15;25,03;128,00;128,00;128,00
20160802;16;24,07;127,17;127,17;127,17
20160802;17;22,74;127,20;127,20;127,20
20160802;18;22,05;127,80;127,80;127,80
20160802;19;21,17;157,00;157,00;157,00
20160802;20;21,37;128,00;128,00;128,00
20160802;21;22,04;169,30;169,30;169,30
20160802;22;22,79;171,50;171,50;171,50
20160802;23;-;131,00;131,00;131,00
20160802;24;-;115,00;115,00;115,00
20160803;1;-;100,00;100,00;100,00
20160803;2;-;73,70;73,70;73,70
20160803;3;-;73,50;73,50;73,50
20160803;4;-;73,90;73,90;73,90
20160803;5;-;73,70;73,70;73,70
20160803;6;-;74,70;74,70;74,70
20160803;7;-;121,29;121,29;121,29
20160803;8;18,71;111,89;111,89;111,89
20160803;9;22,83;127,10;127,10;127,10
20160803;10;22,99;126,70;126,70;126,70
20160803;11;23,46;124,39;124,39;124,39
20160803;12;23,36;126,90;126,90;126,90
20160803;13;23,51;127,80;127,80;127,80
20160803;14;23,78;127,70;127,70;127,70
20160803;15;22,75;125,00;125,00;125,00
20160803;16;21,59;116,75;116,75;116,75
20160803;17;20,08;113,89;113,89;113,89
20160803;18;18,73;98,91;98,91;98,91
20160803;19;18,39;169,75;169,75;169,75
20160803;20;18,42;170,21;170,21;170,21
20160803;21;19,00;171,50;171,50;171,50
20160803;22;19,05;98,91;98,91;98,91
20160803;23;-;120,25;120,25;120,25
20160803;24;-;85,00;85,00;85,00
20160804;1;-;108,01;108,01;108,01
20160804;2;-;85,00;85,00;85,00
20160804;3;-;91,91;91,91;91,91
20160804;4;-;119,01;119,01;119,01
20160804;5;-;119,31;119,31;119,31
20160804;6;-;126,11;126,11;126,11
20160804;7;-;142,61;142,61;142,61
20160804;8;19,81;168,00;168,00;168,00
20160804;9;21,29;167,34;167,34;167,34
20160804;10;23,86;128,00;128,00;128,00
20160804;11;24,09;128,20;128,20;128,20
20160804;12;25,02;167,34;167,34;167,34
20160804;13;25,64;188,57;188,57;188,57
20160804;14;25,68;188,57;188,57;188,57
20160804;15;23,75;172,00;172,00;172,00
20160804;16;22,90;176,86;176,86;176,86
20160804;17;22,14;180,15;180,15;180,15
20160804;18;21,34;177,06;177,06;177,06
20160804;19;20,90;171,04;171,04;171,04
20160804;20;21,84;170,11;170,11;170,11
20160804;21;23,34;162,31;162,31;162,31
20160804;22;23,85;163,00;163,00;163,00
20160804;23;-;148,39;148,39;148,39
20160804;24;-;141,47;141,47;141,47
20160805;1;-;126,20;126,20;126,20
20160805;2;-;125,00;125,00;125,00
20160805;3;-;126,12;126,12;126,12
20160805;4;-;119,01;119,01;119,01
20160805;5;-;85,00;85,00;85,00
20160805;6;-;130,01;130,01;130,01
20160805;7;-;129,25;129,25;129,25
20160805;8;20,82;156,00;156,00;156,00
20160805;9;26,04;125,00;125,00;125,00
20160805;10;27,20;132,75;132,75;132,75
20160805;11;28,20;131,67;131,67;131,67
20160805;12;29,39;195,02;195,02;195,02
20160805;13;29,45;196,76;196,76;196,76
20160805;14;27,83;187,69;187,69;187,69
20160805;15;27,31;191,87;191,87;191,87
20160805;16;25,48;128,20;128,20;128,20
20160805;17;22,52;131,13;131,13;131,13
20160805;18;20,61;126,80;126,80;126,80
20160805;19;20,07;126,70;126,70;126,70
20160805;20;20,05;125,00;125,00;125,00
20160805;21;20,09;162,31;162,31;162,31
20160805;22;20,81;128,00;128,00;128,00
20160805;23;-;130,01;130,01;130,01
20160805;24;-;119,11;119,11;119,11
20160806;1;-;138,89;138,89;138,89
20160806;2;-;142,34;142,34;142,34
20160806;3;-;130,41;130,41;130,41
20160806;4;-;138,89;138,89;138,89
20160806;5;-;130,11;130,11;130,11
20160806;6;-;126,41;126,41;126,41
