Data;Godzina;COR;CRO;CROs;CROz
20170301;1;-;109,01;109,01;109,01
20170301;2;-;100,60;100,60;100,60
20170301;3;-;100,54;100,54;100,54
20170301;4;-;100,41;100,41;100,41
20170301;5;-;139,16;139,16;139,16
20170301;6;-;122,82;122,82;122,82
20170301;7;-;135,61;135,61;135,61
20170301;8;28,99;192,09;192,09;192,09
20170301;9;32,17;185,21;185,21;185,21
20170301;10;29,13;185,89;185,89;185,89
20170301;11;29,52;129,40;129,40;129,40
20170301;12;29,24;129,40;129,40;129,40
20170301;13;27,19;129,26;129,26;129,26
20170301;14;29,66;135,62;135,62;135,62
20170301;15;27,34;129,24;129,24;129,24
20170301;16;26,95;127,00;127,00;127,00
20170301;17;26,68;188,91;188,91;188,91
20170301;18;33,94;214,66;214,66;214,66
20170301;19;40,17;234,14;234,14;234,14
20170301;20;36,80;218,86;218,86;218,86
20170301;21;33,97;192,39;192,39;192,39
20170301;22;26,45;189,89;189,89;189,89
20170301;23;-;139,16;139,16;139,16
20170301;24;-;140,41;140,41;140,41
20170302;1;-;110,00;110,00;110,00
20170302;2;-;108,01;108,01;108,01
20170302;3;-;100,08;100,08;100,08
20170302;4;-;100,21;100,21;100,21
20170302;5;-;108,01;108,01;108,01
20170302;6;-;132,18;132,18;132,18
20170302;7;-;140,01;140,01;140,01
20170302;8;24,75;128,90;128,90;128,90
20170302;9;25,89;181,89;181,89;181,89
20170302;10;25,96;186,37;186,37;186,37
20170302;11;25,18;180,00;180,00;180,00
20170302;12;24,74;180,09;180,09;180,09
20170302;13;24,12;171,00;171,00;171,00
20170302;14;23,82;161,93;161,93;161,93
20170302;15;23,32;164,91;164,91;164,91
20170302;16;22,68;135,18;135,18;135,18
20170302;17;22,16;128,76;128,76;128,76
20170302;18;25,01;122,34;122,34;122,34
20170302;19;26,29;179,04;179,04;179,04
20170302;20;25,48;135,18;135,18;135,18
20170302;21;23,30;122,50;122,50;122,50
20170302;22;21,28;122,50;122,50;122,50
20170302;23;-;135,18;135,18;135,18
20170302;24;-;99,86;99,86;99,86
20170303;1;-;100,01;100,01;100,01
20170303;2;-;109,00;109,00;109,00
20170303;3;-;109,00;109,00;109,00
20170303;4;-;122,27;122,27;122,27
20170303;5;-;136,27;136,27;136,27
20170303;6;-;140,01;140,01;140,01
20170303;7;-;142,21;142,21;142,21
20170303;8;24,99;180,21;180,21;180,21
20170303;9;28,01;122,50;122,50;122,50
20170303;10;28,56;135,18;135,18;135,18
20170303;11;26,95;135,20;135,20;135,20
20170303;12;27,38;188,91;188,91;188,91
20170303;13;25,91;135,18;135,18;135,18
20170303;14;26,94;122,57;122,57;122,57
20170303;15;26,52;122,35;122,35;122,35
20170303;16;26,84;114,01;114,01;114,01
20170303;17;28,08;122,50;122,50;122,50
20170303;18;28,34;135,20;135,20;135,20
20170303;19;31,89;135,26;135,26;135,26
20170303;20;31,14;135,27;135,27;135,27
20170303;21;28,37;135,20;135,20;135,20
20170303;22;24,28;122,00;122,00;122,00
20170303;23;-;128,82;128,82;128,82
20170303;24;-;122,27;122,27;122,27
20170304;1;-;135,01;135,01;135,01
20170304;2;-;135,01;135,01;135,01
20170304;3;-;125,33;125,33;125,33
20170304;4;-;125,18;125,18;125,18
