Data;Godzina;COR;CRO;CROs;CROz
20161101;1;-;151,84;151,84;151,84
20161101;2;-;151,84;151,84;151,84
20161101;3;-;149,89;149,89;149,89
20161101;4;-;145,89;145,89;145,89
20161101;5;-;149,00;149,00;149,00
20161101;6;-;151,84;151,84;151,84
20161101;7;-;145,49;145,49;145,49
20161101;8;-;145,89;145,89;145,89
20161101;9;-;151,84;151,84;151,84
20161101;10;-;145,89;145,89;145,89
20161101;11;-;115,01;115,01;115,01
20161101;12;-;122,65;122,65;122,65
20161101;13;-;124,65;124,65;124,65
20161101;14;-;125,65;125,65;125,65
20161101;15;-;126,65;126,65;126,65
20161101;16;-;122,65;122,65;122,65
20161101;17;-;145,89;145,89;145,89
20161101;18;-;145,89;145,89;145,89
20161101;19;-;150,89;150,89;150,89
20161101;20;-;126,65;126,65;126,65
20161101;21;-;122,65;122,65;122,65
20161101;22;-;124,65;124,65;124,65
20161101;23;-;85,00;85,00;85,00
20161101;24;-;71,20;71,20;71,20
20161102;1;-;72,00;72,00;72,00
20161102;2;-;70,03;70,03;70,03
20161102;3;-;70,01;70,01;70,01
20161102;4;-;70,01;70,01;70,01
20161102;5;-;70,01;70,01;70,01
20161102;6;-;72,10;72,10;72,10
20161102;7;-;142,56;142,56;142,56
20161102;8;19,49;115,00;115,00;115,00
20161102;9;21,00;124,00;124,00;124,00
20161102;10;21,66;124,00;124,00;124,00
20161102;11;20,90;176,24;176,24;176,24
20161102;12;20,98;174,00;174,00;174,00
20161102;13;20,77;174,64;174,64;174,64
20161102;14;20,88;174,30;174,30;174,30
20161102;15;20,65;124,00;124,00;124,00
20161102;16;21,20;172,11;172,11;172,11
20161102;17;24,85;190,01;190,01;190,01
20161102;18;30,10;220,00;220,00;220,00
20161102;19;29,75;180,41;180,41;180,41
20161102;20;28,28;133,60;133,60;133,60
20161102;21;24,91;125,00;125,00;125,00
20161102;22;21,19;105,89;105,89;105,89
20161102;23;-;125,00;125,00;125,00
20161102;24;-;110,00;110,00;110,00
20161103;1;-;72,20;72,20;72,20
20161103;2;-;72,10;72,10;72,10
20161103;3;-;72,10;72,10;72,10
20161103;4;-;72,10;72,10;72,10
20161103;5;-;121,41;121,41;121,41
20161103;6;-;145,30;145,30;145,30
20161103;7;-;153,11;153,11;153,11
20161103;8;28,88;179,50;179,50;179,50
20161103;9;35,45;204,26;204,26;204,26
20161103;10;41,20;213,39;213,39;213,39
20161103;11;41,20;218,15;218,15;218,15
20161103;12;41,20;229,06;229,06;229,06
20161103;13;41,20;229,06;229,06;229,06
20161103;14;41,20;229,03;229,03;229,03
20161103;15;41,20;229,03;229,03;229,03
20161103;16;41,20;235,94;235,94;235,94
20161103;17;41,20;235,94;235,94;235,94
20161103;18;41,20;235,94;235,94;235,94
20161103;19;41,20;231,09;231,09;231,09
20161103;20;41,20;229,03;229,03;229,03
20161103;21;41,20;129,30;129,30;129,30
20161103;22;38,61;124,39;124,39;124,39
20161103;23;-;145,89;145,89;145,89
20161103;24;-;159,00;159,00;159,00
20161104;1;-;134,04;134,04;134,04
20161104;2;-;145,89;145,89;145,89
20161104;3;-;145,89;145,89;145,89
20161104;4;-;141,80;141,80;141,80
20161104;5;-;145,89;145,89;145,89
20161104;6;-;154,38;154,38;154,38
20161104;7;-;155,00;155,00;155,00
20161104;8;41,20;229,61;229,61;229,61
20161104;9;41,20;231,61;231,61;231,61
20161104;10;41,20;236,51;236,51;236,51
20161104;11;41,20;229,58;229,58;229,58
20161104;12;41,20;236,51;236,51;236,51
20161104;13;41,20;231,61;231,61;231,61
20161104;14;41,20;231,61;231,61;231,61
20161104;15;41,20;231,61;231,61;231,61
20161104;16;41,20;231,61;231,61;231,61
20161104;17;41,20;246,32;246,32;246,32
20161104;18;41,20;234,51;234,51;234,51
20161104;19;41,20;229,58;229,58;229,58
20161104;20;41,20;231,61;231,61;231,61
20161104;21;41,20;229,58;229,58;229,58
20161104;22;37,39;211,87;211,87;211,87
20161104;23;-;177,22;177,22;177,22
20161104;24;-;175,22;175,22;175,22
20161105;1;-;172,02;172,02;172,02
20161105;2;-;168,02;168,02;168,02
20161105;3;-;165,30;165,30;165,30
20161105;4;-;155,10;155,10;155,10
