Doba handlowa;OREB;Czechy Eksport [MW];Czechy Import [MW];Słowacja Eksport [MW];Słowacja Import [MW];Niemcy Eksport [MW];Niemcy Import [MW];Szwecja Eksport [MW];Szwecja Import [MW];Ukraina Eksport [MW];Ukraina Import [MW];Litwa Eksport [MW];Litwa Import [MW];Data publikacji
"2024-10-01";"00:00 - 00:15";-962.7;0;-720.027;0;0;1233;0;0;0;162.8;0;240;"2025-03-10 16:34"
"2024-10-01";"00:15 - 00:30";-920;0;-664.96;0;0;1196.3;0;0;0;198.8;0;239.9;"2025-03-10 16:34"
"2024-10-01";"00:30 - 00:45";-950.9;0;-685.74;0;0;1269.4;0;0;0;211;0;240.1;"2025-03-10 16:34"
"2024-10-01";"00:45 - 01:00";-919.1;0;-630.673;0;0;1286.2;0;0;0;250.5;0;218.1;"2025-03-10 16:34"
"2024-10-01";"01:00 - 01:15";-840.2;0;-599.503;0;0;1459.6;0;0;0;215;-178.9;0;"2025-03-10 16:34"
"2024-10-01";"01:15 - 01:30";-836.6;0;-582.879;0;0;1501.1;0;0;0;242.6;-179.1;0;"2025-03-10 16:34"
"2024-10-01";"01:30 - 01:45";-783.1;0;-544.436;0;0;1498;0;0;0;271.2;-178.9;0;"2025-03-10 16:34"
"2024-10-01";"01:45 - 02:00";-835.3;0;-543.397;0;0;1429.6;0;0;0;264;-179.1;0;"2025-03-10 16:34"
"2024-10-01";"02:00 - 02:15";-800.6;0;-493.525;0;0;1313.6;0;0;0;264.8;-157;0;"2025-03-10 16:34"
"2024-10-01";"02:15 - 02:30";-753;0;-456.121;0;0;1409.1;0;0;0;250.3;-157.1;0;"2025-03-10 16:34"
"2024-10-01";"02:30 - 02:45";-736.3;3.3;-458.199;0;0;1344.8;0;0;0;245;-156.9;0;"2025-03-10 16:34"
"2024-10-01";"02:45 - 03:00";-692.1;11.7;-430.146;0;0;1480.9;0;0;0;225.3;-165.7;0;"2025-03-10 16:34"
"2024-10-01";"03:00 - 03:15";-712.3;0;-432.224;0;0;1294.2;0;0;0;252.6;-185.2;0;"2025-03-10 16:34"
"2024-10-01";"03:15 - 03:30";-694.7;10.8;-454.043;0;0;1416.1;0;0;0;194.9;-185.3;0;"2025-03-10 16:34"
"2024-10-01";"03:30 - 03:45";-722.3;5.8;-467.55;0;0;1238.2;0;0;0;259.1;-185.4;0;"2025-03-10 16:34"
"2024-10-01";"03:45 - 04:00";-729.7;7.8;-492.486;0;0;1215.7;0;0;0;233.5;-160;0;"2025-03-10 16:34"
"2024-10-01";"04:00 - 04:15";-801.9;0;-602.62;0;0;1124.1;0;0;0;160.5;0;191.7;"2025-03-10 16:34"
"2024-10-01";"04:15 - 04:30";-784.2;0;-574.567;0;0;1145.3;0;0;0;158.9;0;191.7;"2025-03-10 16:34"
"2024-10-01";"04:30 - 04:45";-796.8;0;-575.606;0;0;1104.6;0;0;0;196.1;0;191.7;"2025-03-10 16:34"
"2024-10-01";"04:45 - 05:00";-761.1;0;-583.918;0;0;1373;0;0;0;131.3;0;118.3;"2025-03-10 16:34"
"2024-10-01";"05:00 - 05:15";-698;14.7;-588.074;0;0;1534;0;0;-71.9;0;0;118.6;"2025-03-10 16:34"
"2024-10-01";"05:15 - 05:30";-797.4;0;-657.687;0;0;1485.7;0;0;-72.5;0;0;118.5;"2025-03-10 16:34"
"2024-10-01";"05:30 - 05:45";-933.3;0;-730.417;0;0;1400.2;0;0;-106.7;0;0;118.7;"2025-03-10 16:34"
"2024-10-01";"05:45 - 06:00";-723.5;13.4;-693.013;0;0;1161.2;0;0;-84;0;0;93.6;"2025-03-10 16:34"
"2024-10-01";"06:00 - 06:15";-317.9;249.2;-288.842;0;0;1725.6;0;0;0;21.9;0;47.2;"2025-03-10 16:34"
"2024-10-01";"06:15 - 06:30";-323.2;258.5;-310.661;0;0;1992.6;0;0;0;6.1;0;47.9;"2025-03-10 16:34"
"2024-10-01";"06:30 - 06:45";-332;208.5;-377.157;0;0;1896.5;0;0;0;13.4;0;51.1;"2025-03-10 16:34"
"2024-10-01";"06:45 - 07:00";-416.2;184.6;-440.536;0;0;1702.4;0;0;0;0;-54.8;0;"2025-03-10 16:34"
"2024-10-01";"07:00 - 07:15";-287.1;265;-326.246;0;0;1899.3;0;0;0;90.2;-77;0;"2025-03-10 16:34"
"2024-10-01";"07:15 - 07:30";-264.4;282.2;-236.892;0;0;1772.7;0;0;0;108.6;-77.1;0;"2025-03-10 16:34"
"2024-10-01";"07:30 - 07:45";-254.8;214.3;-212.995;0;0;1406.1;0;0;0;163.9;-76.6;0;"2025-03-10 16:34"
"2024-10-01";"07:45 - 08:00";-256.5;216;-139.226;0;0;1249;0;0;0;240.3;-56.9;0;"2025-03-10 16:34"
"2024-10-01";"08:00 - 08:15";-716.1;0;-376.118;0;0;830.8;0;0;0;124;0;112.7;"2025-03-10 16:34"
"2024-10-01";"08:15 - 08:30";-588.8;0;-280.53;0;0;736.9;0;0;0;168.8;0;114.6;"2025-03-10 16:34"
"2024-10-01";"08:30 - 08:45";-406.4;0;-120.524;0;0;786.4;0;0;0;208.9;0;114.6;"2025-03-10 16:34"
"2024-10-01";"08:45 - 09:00";-357.5;0;-32.209;0;0;465.8;0;0;0;326.4;0;126.5;"2025-03-10 16:34"
"2024-10-01";"09:00 - 09:15";-815.3;0;-225.463;0;0;177.3;0;0;0;246.7;0;254;"2025-03-10 16:34"
"2024-10-01";"09:15 - 09:30";-883.4;0;-222.346;0;-330.4;0;0;0;0;331.4;0;254.1;"2025-03-10 16:34"
"2024-10-01";"09:30 - 09:45";-743.5;0;-183.903;0;-402;0;0;0;0;324.7;0;254.1;"2025-03-10 16:34"
"2024-10-01";"09:45 - 10:00";-785.4;0;-157.928;0;-634.6;164.2;0;0;0;390.6;0;205.2;"2025-03-10 16:34"
"2024-10-01";"10:00 - 10:15";-904.5;0;-125.719;0;-483.1;231.1;0;0;0;397.4;0;62.6;"2025-03-10 16:34"
"2024-10-01";"10:15 - 10:30";-849.4;0;-89.354;0;-496.4;190.7;0;0;0;418.2;0;62.5;"2025-03-10 16:34"
"2024-10-01";"10:30 - 10:45";-771.7;0;0;0;-491.7;131.1;0;0;0;445.2;0;62.1;"2025-03-10 16:34"
"2024-10-01";"10:45 - 11:00";-768.2;0;0;9.351;-636.5;44.7;0;0;0;527.2;0;62.1;"2025-03-10 16:34"
"2024-10-01";"11:00 - 11:15";-716.1;0;0;75.847;-552.7;61.9;0;0;0;526.9;0;186.8;"2025-03-10 16:34"
"2024-10-01";"11:15 - 11:30";-702.8;0;0;117.407;-613.8;16.9;0;0;0;557.9;0;186.3;"2025-03-10 16:34"
"2024-10-01";"11:30 - 11:45";-661.6;0;0;101.822;-581.4;0;0;0;0;535.2;0;186.5;"2025-03-10 16:34"
"2024-10-01";"11:45 - 12:00";-703.1;0;0;99.744;-562;0;0;0;0;531.2;0;167.8;"2025-03-10 16:34"
"2024-10-01";"12:00 - 12:15";-705.4;0;0;157.928;-465;72.4;0;0;0;513.9;-157.1;0;"2025-03-10 16:34"
"2024-10-01";"12:15 - 12:30";-705.5;0;0;155.85;-337.9;129;0;0;0;488.1;-157.1;0;"2025-03-10 16:34"
"2024-10-01";"12:30 - 12:45";-638.6;0;0;185.981;-349.2;181.6;0;0;0;507;-157;0;"2025-03-10 16:34"
"2024-10-01";"12:45 - 13:00";-578.8;0;0;203.644;-418.3;147.9;0;0;0;542.8;-156.8;0;"2025-03-10 16:34"
"2024-10-01";"13:00 - 13:15";-532.5;0;0;230.658;-265.3;266.6;0;0;0;498;-371.1;0;"2025-03-10 16:34"
"2024-10-01";"13:15 - 13:30";-437.2;0;0;231.697;-112.7;204.3;0;0;0;491.5;-371;0;"2025-03-10 16:34"
"2024-10-01";"13:30 - 13:45";-369.5;0;0;255.594;-54.7;243.4;0;0;0;457.7;-371;0;"2025-03-10 16:34"
"2024-10-01";"13:45 - 14:00";-396.9;0;0;242.087;-198.5;162;0;0;0;470.8;-370.8;0;"2025-03-10 16:34"
"2024-10-01";"14:00 - 14:15";-357.9;0;0;180.786;-36.1;299.5;0;0;0;384.2;-407.4;0;"2025-03-10 16:34"
"2024-10-01";"14:15 - 14:30";-334;0;0;160.006;0;457.8;0;0;0;375.3;-407.3;0;"2025-03-10 16:34"
"2024-10-01";"14:30 - 14:45";-235.3;0;0;221.307;0;569.5;0;0;0;448.1;-407.2;0;"2025-03-10 16:34"
"2024-10-01";"14:45 - 15:00";-290.4;0;0;104.939;0;600.7;0;0;0;414.8;-475.5;0;"2025-03-10 16:34"
"2024-10-01";"15:00 - 15:15";-31.6;122;0;197.41;0;905.6;0;0;0;338.1;-474.6;0;"2025-03-10 16:34"
"2024-10-01";"15:15 - 15:30";-16;277.9;0;241.048;0;1099.2;0;0;0;351.4;-474.5;0;"2025-03-10 16:34"
"2024-10-01";"15:30 - 15:45";-58.1;236.3;0;123.641;0;1363.3;0;0;0;286.6;-474.7;0;"2025-03-10 16:34"
"2024-10-01";"15:45 - 16:00";-81.7;166.4;0;23.897;0;1095.3;0;0;0;387.6;-508.6;0;"2025-03-10 16:34"
"2024-10-01";"16:00 - 16:15";-11.8;582.2;0;227.541;0;1751.2;0;0;0;218.3;-507.6;0;"2025-03-10 16:34"
"2024-10-01";"16:15 - 16:30";-48.9;513.1;0;99.744;0;1702.6;0;0;0;214;-507.5;0;"2025-03-10 16:34"
"2024-10-01";"16:30 - 16:45";-76.3;487.4;0;21.819;0;1806.3;0;0;0;235.1;-507.5;0;"2025-03-10 16:34"
"2024-10-01";"16:45 - 17:00";-54.3;569.1;-59.223;0;0;1653.6;0;0;0;142.4;-419.4;0;"2025-03-10 16:34"
"2024-10-01";"17:00 - 17:15";-17;726.8;0;103.9;0;1469.6;0;0;0;148;0;0;"2025-03-10 16:34"
"2024-10-01";"17:15 - 17:30";-3.6;929.8;0;210.917;0;1487.3;0;0;0;197;0;0;"2025-03-10 16:34"
"2024-10-01";"17:30 - 17:45";-6.9;913.3;0;183.903;0;1658.9;0;0;0;165.6;0;0;"2025-03-10 16:34"
"2024-10-01";"17:45 - 18:00";0;902.1;0;164.162;0;1588.1;0;0;0;216.4;0;51.4;"2025-03-10 16:34"
"2024-10-01";"18:00 - 18:15";0;947.6;0;162.084;0;1556.7;0;0;0;294;0;87.2;"2025-03-10 16:34"
"2024-10-01";"18:15 - 18:30";0;850.8;0;85.198;0;1446.4;0;0;0;267.8;0;87.6;"2025-03-10 16:34"
"2024-10-01";"18:30 - 18:45";-3.6;833.7;0;74.808;0;1723.8;0;0;0;267.3;0;88.2;"2025-03-10 16:34"
"2024-10-01";"18:45 - 19:00";0;878.3;0;129.875;0;1560.4;0;0;0;388.2;0;168;"2025-03-10 16:34"
"2024-10-01";"19:00 - 19:15";-13.5;800.3;0;89.354;0;1505.6;0;0;0;420.1;0;277.2;"2025-03-10 16:34"
"2024-10-01";"19:15 - 19:30";-13.2;785.7;0;85.198;0;1515;0;0;0;397;0;277.2;"2025-03-10 16:34"
"2024-10-01";"19:30 - 19:45";-15;815.9;0;83.12;0;1550.8;0;0;0;407.6;0;277.2;"2025-03-10 16:34"
"2024-10-01";"19:45 - 20:00";-18.9;793.9;0;21.819;0;1649.5;0;0;0;311.7;0;155.7;"2025-03-10 16:34"
"2024-10-01";"20:00 - 20:15";-29.3;657.9;-54.028;0;0;1501.8;0;0;0;222.3;0;0;"2025-03-10 16:34"
"2024-10-01";"20:15 - 20:30";-26.8;681.6;-34.287;0;0;1505.8;0;0;0;232.8;0;0;"2025-03-10 16:34"
"2024-10-01";"20:30 - 20:45";-18.5;811.1;0;54.028;0;1504.1;0;0;0;305.1;0;0;"2025-03-10 16:34"
"2024-10-01";"20:45 - 21:00";-19.5;775.5;0;48.833;0;1490.9;0;0;0;285.5;-153.5;0;"2025-03-10 16:34"
"2024-10-01";"21:00 - 21:15";-35.3;576;-44.677;0;0;1458.4;0;0;0;341.9;-355.5;0;"2025-03-10 16:34"
"2024-10-01";"21:15 - 21:30";-22.3;680.8;0;37.404;0;1465.8;0;0;0;400.5;-355.4;0;"2025-03-10 16:34"
"2024-10-01";"21:30 - 21:45";-22.6;732.9;0;57.145;0;1493.6;0;0;0;326.8;-355.5;0;"2025-03-10 16:34"
"2024-10-01";"21:45 - 22:00";-25.2;666.4;0;30.131;0;1422.7;0;0;0;375.3;-382.8;0;"2025-03-10 16:34"
"2024-10-01";"22:00 - 22:15";-173.3;214.7;-218.19;0;0;1515.5;0;0;0;380.4;-506.5;0;"2025-03-10 16:34"
"2024-10-01";"22:15 - 22:30";-278.3;115.9;-283.647;0;0;1589.4;0;0;0;308.8;-506.6;0;"2025-03-10 16:34"
"2024-10-01";"22:30 - 22:45";-207.8;195.2;-185.981;0;0;1628.7;0;0;0;384.9;-507;0;"2025-03-10 16:34"
"2024-10-01";"22:45 - 23:00";-202.3;160.7;-203.644;0;0;1389.9;0;0;0;455.7;-506.6;0;"2025-03-10 16:34"
"2024-10-01";"23:00 - 23:15";-140.1;195.1;-127.797;0;0;1367.2;0;0;0;489.3;-506.6;0;"2025-03-10 16:34"
"2024-10-01";"23:15 - 23:30";-117.9;220.1;-179.747;0;0;1345;0;0;0;502.5;-506.7;0;"2025-03-10 16:34"
"2024-10-01";"23:30 - 23:45";-110.6;239.7;-162.084;0;0;1381.9;0;0;0;456.6;-506.7;0;"2025-03-10 16:34"
"2024-10-01";"23:45 - 24:00";-114;222.8;-129.875;0;0;1474.2;0;0;0;488.2;-506.8;0;"2025-03-10 16:34"
"2024-10-02";"00:00 - 00:15";-62.4;246.4;-20.78;0;0;1175.4;0;0;0;590;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"00:15 - 00:30";-40.9;323.4;0;56.106;0;1234.2;0;0;0;543.8;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"00:30 - 00:45";-29.6;328.5;0;66.496;0;1181.1;0;0;0;566.9;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"00:45 - 01:00";-73.3;243.7;0;15.585;0;1334;0;0;0;576.4;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"01:00 - 01:15";-116.2;168.1;0;20.78;0;1196;0;0;0;600.8;-506.5;0;"2025-03-10 16:35"
"2024-10-02";"01:15 - 01:30";-109.4;153.7;0;45.716;0;1107.6;0;0;0;631.4;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"01:30 - 01:45";-106.2;177.2;0;25.975;0;1218.1;0;0;0;610.6;-506.8;0;"2025-03-10 16:35"
"2024-10-02";"01:45 - 02:00";-108.8;129;0;18.702;0;1094.1;0;0;0;621.2;-506.8;0;"2025-03-10 16:35"
"2024-10-02";"02:00 - 02:15";-92.8;153.4;0;96.627;0;1041.7;0;0;0;626.3;-506.8;0;"2025-03-10 16:35"
"2024-10-02";"02:15 - 02:30";-89;128.1;0;47.794;0;1017.4;0;0;0;644.5;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"02:30 - 02:45";-58.3;205.5;0;132.992;0;1237.5;0;0;0;655.9;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"02:45 - 03:00";-66.1;166;0;98.705;0;1086.1;0;0;0;661.3;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"03:00 - 03:15";-44.7;250.4;0;144.421;0;1280.2;0;0;0;651.2;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"03:15 - 03:30";-41.5;259.2;0;146.499;0;1375.3;0;0;0;637.6;-506.6;0;"2025-03-10 16:35"
"2024-10-02";"03:30 - 03:45";-42.9;260.1;0;143.382;0;1247.2;0;0;0;643.3;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"03:45 - 04:00";-48.1;233.2;0;131.953;0;1342;0;0;0;659.3;-506.5;0;"2025-03-10 16:35"
"2024-10-02";"04:00 - 04:15";-36.5;343;0;185.981;0;1500.7;0;0;0;685.5;-506.5;0;"2025-03-10 16:35"
"2024-10-02";"04:15 - 04:30";-38.4;310.8;0;127.797;0;1508.7;0;0;0;639.6;-506.5;0;"2025-03-10 16:35"
"2024-10-02";"04:30 - 04:45";-38.1;354.3;0;91.432;0;1544.6;0;0;0;594.1;-506.5;0;"2025-03-10 16:35"
"2024-10-02";"04:45 - 05:00";-32;438.9;0;156.889;0;1614.9;0;0;0;509.6;-506.4;0;"2025-03-10 16:35"
"2024-10-02";"05:00 - 05:15";-27.8;595.2;0;180.786;0;2265.7;0;0;0;448.5;-506.4;0;"2025-03-10 16:35"
"2024-10-02";"05:15 - 05:30";-39.5;487;0;50.911;0;2300.2;0;0;0;359.1;-506.4;0;"2025-03-10 16:35"
"2024-10-02";"05:30 - 05:45";-40.3;464.7;0;59.223;0;2146.5;0;0;0;377.1;-506.4;0;"2025-03-10 16:35"
"2024-10-02";"05:45 - 06:00";-43.5;505.3;0;48.833;0;2295.9;0;0;0;344;-506.7;0;"2025-03-10 16:35"
"2024-10-02";"06:00 - 06:15";-62.7;468.4;-19.741;0;0;2424.9;0;0;0;291.8;-507;0;"2025-03-10 16:35"
"2024-10-02";"06:15 - 06:30";-45.3;583.1;0;59.223;0;1925;0;0;0;318.1;-507.1;0;"2025-03-10 16:35"
"2024-10-02";"06:30 - 06:45";-41.9;565.5;0;0;0;1897.8;0;0;0;344.4;-507.2;0;"2025-03-10 16:35"
