Doba handlowa;OREB;Czechy Eksport [MW];Czechy Import [MW];Słowacja Eksport [MW];Słowacja Import [MW];Niemcy Eksport [MW];Niemcy Import [MW];Szwecja Eksport [MW];Szwecja Import [MW];Ukraina Eksport [MW];Ukraina Import [MW];Litwa Eksport [MW];Litwa Import [MW];Data publikacji
"2024-09-01";"00:00 - 00:15";-595.4;114.1;-444.692;0;0;2110.7;0;0;-211.3;0;-185.5;0;"2025-03-10 16:15"
"2024-09-01";"00:15 - 00:30";-565.2;132.9;-440.536;0;0;2078.2;0;0;-159.7;0;-185.3;0;"2025-03-10 16:15"
"2024-09-01";"00:30 - 00:45";-610.9;70.1;-491.447;0;0;2022.9;0;0;-175.9;0;-185.4;0;"2025-03-10 16:15"
"2024-09-01";"00:45 - 01:00";-608;77.9;-447.809;0;0;2020.4;0;0;-160;0;-172.7;0;"2025-03-10 16:15"
"2024-09-01";"01:00 - 01:15";-589.8;98;-468.589;0;0;2091.3;0;0;-224.1;0;-156.9;0;"2025-03-10 16:15"
"2024-09-01";"01:15 - 01:30";-557.6;124.6;-384.43;0;0;2014.5;0;0;-170.5;0;-157.2;0;"2025-03-10 16:15"
"2024-09-01";"01:30 - 01:45";-549.9;129.8;-381.313;0;0;2006.7;0;0;-155.4;0;-157;0;"2025-03-10 16:15"
"2024-09-01";"01:45 - 02:00";-588.4;78.1;-429.107;0;0;1931.7;0;0;-176.1;0;-156.8;0;"2025-03-10 16:15"
"2024-09-01";"02:00 - 02:15";-594.7;57.3;-427.029;0;0;1910.7;0;0;-166.3;0;-170.5;0;"2025-03-10 16:15"
"2024-09-01";"02:15 - 02:30";-567.5;101.1;-388.586;0;0;1984.2;0;0;-136;0;-170.3;0;"2025-03-10 16:15"
"2024-09-01";"02:30 - 02:45";-594.1;76.7;-412.483;0;0;2044.2;0;0;-161.8;0;-170.3;0;"2025-03-10 16:15"
"2024-09-01";"02:45 - 03:00";-590.6;97.9;-400.015;0;0;2095.9;0;0;-168.5;0;-211.7;0;"2025-03-10 16:15"
"2024-09-01";"03:00 - 03:15";-624.3;64.8;-465.472;0;0;2057.6;0;0;-185.1;0;-211.8;0;"2025-03-10 16:15"
"2024-09-01";"03:15 - 03:30";-628.2;96.1;-439.497;0;0;2204.4;0;0;-205.3;0;-211.9;0;"2025-03-10 16:15"
"2024-09-01";"03:30 - 03:45";-615.6;57.9;-441.575;0;0;2040.5;0;0;-154;0;-211.9;0;"2025-03-10 16:15"
"2024-09-01";"03:45 - 04:00";-601.7;65.2;-412.483;0;0;2019.6;0;0;-130.5;0;-225.3;0;"2025-03-10 16:15"
"2024-09-01";"04:00 - 04:15";-609.9;81.7;-441.575;0;0;2182.5;0;0;-197.7;0;-248.3;0;"2025-03-10 16:15"
"2024-09-01";"04:15 - 04:30";-565.1;113.5;-380.274;0;0;2127.1;0;0;-162.3;0;-248.4;0;"2025-03-10 16:15"
"2024-09-01";"04:30 - 04:45";-565.2;83.3;-396.898;0;0;2098.3;0;0;-165.9;0;-248.4;0;"2025-03-10 16:15"
"2024-09-01";"04:45 - 05:00";-577.9;99.1;-404.171;0;0;2184.1;0;0;-199;0;-265.7;0;"2025-03-10 16:15"
"2024-09-01";"05:00 - 05:15";-549.9;127.3;-352.221;0;0;2006.7;0;0;-137.6;0;-265.7;0;"2025-03-10 16:15"
"2024-09-01";"05:15 - 05:30";-561.4;77.8;-401.054;0;0;1868.9;0;0;-149.3;0;-265.6;0;"2025-03-10 16:15"
"2024-09-01";"05:30 - 05:45";-558.6;79.3;-387.547;0;0;1857.2;0;0;-156;0;-265.6;0;"2025-03-10 16:15"
"2024-09-01";"05:45 - 06:00";-572.5;60.8;-424.951;0;0;1833.3;0;0;-197.3;0;-265.6;0;"2025-03-10 16:15"
"2024-09-01";"06:00 - 06:15";-610.2;43.3;-453.004;0;0;1762;0;0;-206.2;0;-222.8;0;"2025-03-10 16:15"
"2024-09-01";"06:15 - 06:30";-619.4;38.4;-468.589;0;0;1656.3;0;0;-204.1;0;-222.9;0;"2025-03-10 16:15"
"2024-09-01";"06:30 - 06:45";-589.7;56.8;-409.366;0;0;1651.6;0;0;-160.7;0;-222.7;0;"2025-03-10 16:15"
"2024-09-01";"06:45 - 07:00";-640.1;33.2;-474.823;0;0;1792.6;0;0;-230.9;0;-194.9;0;"2025-03-10 16:15"
"2024-09-01";"07:00 - 07:15";-735.3;0;-530.929;0;0;1391.5;0;0;-219.2;0;-179.1;0;"2025-03-10 16:15"
"2024-09-01";"07:15 - 07:30";-784.8;0;-552.748;0;0;1419.6;0;0;-247.2;0;-179.1;0;"2025-03-10 16:15"
"2024-09-01";"07:30 - 07:45";-769.2;0;-534.046;0;0;1509.9;0;0;-270.9;0;-179;0;"2025-03-10 16:15"
"2024-09-01";"07:45 - 08:00";-730.1;0;-469.628;0;0;1296.3;0;0;-198.8;0;-179.1;0;"2025-03-10 16:15"
"2024-09-01";"08:00 - 08:15";-670.1;7.5;-427.029;0;0;1622.6;0;0;-214.4;0;-431.1;0;"2025-03-10 16:15"
