Doba handlowa;OREB;Czechy Eksport [MW];Czechy Import [MW];Słowacja Eksport [MW];Słowacja Import [MW];Niemcy Eksport [MW];Niemcy Import [MW];Szwecja Eksport [MW];Szwecja Import [MW];Ukraina Eksport [MW];Ukraina Import [MW];Litwa Eksport [MW];Litwa Import [MW];Data publikacji
"2024-07-01";"00:00 - 00:15";-739.1;62;-668.077;0;0;812;0;522.4;-312.6;0;0;236.2;"2025-03-10 15:33"
"2024-07-01";"00:15 - 00:30";-794;67.8;-678.467;0;0;841.6;0;594.4;-328.3;0;0;236.1;"2025-03-10 15:33"
"2024-07-01";"00:30 - 00:45";-677;102.1;-554.826;0;0;971.5;0;594.3;-307;0;0;236.1;"2025-03-10 15:33"
"2024-07-01";"00:45 - 01:00";-693.9;95.3;-566.255;0;0;901.2;0;593.9;-316.4;0;0;236.2;"2025-03-10 15:33"
"2024-07-01";"01:00 - 01:15";-767.5;83.4;-616.127;0;0;932.6;0;594.3;-366.7;0;0;190.2;"2025-03-10 15:33"
"2024-07-01";"01:15 - 01:30";-679.5;97.2;-633.79;0;0;995.2;0;594.1;-356.3;0;0;190.1;"2025-03-10 15:33"
"2024-07-01";"01:30 - 01:45";-687.9;91.3;-636.907;0;0;943.9;0;594.1;-368.1;0;0;190;"2025-03-10 15:33"
"2024-07-01";"01:45 - 02:00";-663.5;87.8;-651.453;0;0;1107;0;593.8;-369.8;0;0;170.2;"2025-03-10 15:33"
"2024-07-01";"02:00 - 02:15";-720.6;68.9;-694.052;0;0;1045.8;0;593.5;-398.2;0;0;142.4;"2025-03-10 15:33"
"2024-07-01";"02:15 - 02:30";-769.3;57.7;-686.779;0;0;1122.5;0;593.8;-375.6;0;0;142.8;"2025-03-10 15:33"
"2024-07-01";"02:30 - 02:45";-798.4;40.7;-727.3;0;0;951.9;0;593.7;-374;0;0;142.6;"2025-03-10 15:33"
"2024-07-01";"02:45 - 03:00";-782.4;55;-711.715;0;0;1118.3;0;593.5;-404.9;0;0;124.8;"2025-03-10 15:33"
"2024-07-01";"03:00 - 03:15";-774.6;31.9;-695.091;0;0;833.1;0;593.3;-378.5;0;0;84.6;"2025-03-10 15:33"
"2024-07-01";"03:15 - 03:30";-806;50;-688.857;0;0;1032.9;0;593.2;-389.8;0;0;84.6;"2025-03-10 15:33"
"2024-07-01";"03:30 - 03:45";-764.7;53.3;-690.935;0;0;858.9;0;593.5;-371.1;0;0;84.6;"2025-03-10 15:33"
"2024-07-01";"03:45 - 04:00";-704.5;78;-637.946;0;0;991.7;0;593.3;-365.8;0;0;84.6;"2025-03-10 15:33"
