Doba handlowa;OREB;Czechy Eksport [MW];Czechy Import [MW];Słowacja Eksport [MW];Słowacja Import [MW];Niemcy Eksport [MW];Niemcy Import [MW];Szwecja Eksport [MW];Szwecja Import [MW];Ukraina Eksport [MW];Ukraina Import [MW];Litwa Eksport [MW];Litwa Import [MW];Data publikacji
"2024-08-01";"00:00 - 00:15";-31.4;540.1;-76.886;0;0;1823.3;0;593.7;-138.2;0;-129.3;0;"2025-03-10 15:54"
"2024-08-01";"00:15 - 00:30";-36.1;514.5;-139.226;0;0;1942.4;0;593.8;-173.1;0;-129.5;0;"2025-03-10 15:54"
"2024-08-01";"00:30 - 00:45";0;547.4;-70.652;0;0;1824.3;0;593.8;-119.3;0;-129.6;0;"2025-03-10 15:54"
"2024-08-01";"00:45 - 01:00";-41.7;461.5;-182.864;0;0;1849.2;0;593.6;-139.2;0;-84.2;0;"2025-03-10 15:54"
"2024-08-01";"01:00 - 01:15";-87.4;419.3;-240.009;0;0;1879.4;0;593.8;-170;0;0;0;"2025-03-10 15:54"
"2024-08-01";"01:15 - 01:30";-89.8;386;-298.193;0;0;1792.2;0;593.9;-181.4;0;0;0;"2025-03-10 15:54"
"2024-08-01";"01:30 - 01:45";-58.1;436.5;-216.112;0;0;1824.8;0;593.8;-145.7;0;0;0;"2025-03-10 15:54"
"2024-08-01";"01:45 - 02:00";-61.2;416.7;-244.165;0;0;1777.8;0;593.7;-153.7;0;-59.5;0;"2025-03-10 15:54"
"2024-08-01";"02:00 - 02:15";-44.9;418.7;-248.321;0;0;1526.1;0;593.6;-114.8;0;-64;0;"2025-03-10 15:54"
"2024-08-01";"02:15 - 02:30";-32.2;451.5;-182.864;0;0;1596.7;0;593.7;-85.1;0;-63.8;0;"2025-03-10 15:54"
"2024-08-01";"02:30 - 02:45";-46.7;432.1;-245.204;0;0;1699.9;0;593.7;-158.4;0;-64.2;0;"2025-03-10 15:54"
"2024-08-01";"02:45 - 03:00";-42.3;444;-201.566;0;0;1730.3;0;593.3;-148.4;0;-99.7;0;"2025-03-10 15:54"
"2024-08-01";"03:00 - 03:15";-47;446;-229.619;0;0;1771.6;0;593.6;-176.1;0;-108.7;0;"2025-03-10 15:54"
"2024-08-01";"03:15 - 03:30";-61.8;427.7;-251.438;0;0;1833.4;0;593.6;-194.8;0;-108.5;0;"2025-03-10 15:54"
"2024-08-01";"03:30 - 03:45";-53.3;459.3;-225.463;0;0;1820.1;0;593.6;-207.3;0;-108.6;0;"2025-03-10 15:54"
"2024-08-01";"03:45 - 04:00";-62.6;419.3;-276.374;0;0;1775.8;0;593.5;-224.9;0;-108.5;0;"2025-03-10 15:54"
"2024-08-01";"04:00 - 04:15";-53.3;445.8;-220.268;0;0;1790.3;0;593.7;-226.3;0;-116.8;0;"2025-03-10 15:54"
"2024-08-01";"04:15 - 04:30";-51.4;434.3;-205.722;0;0;1780.6;0;593.7;-173.8;0;-116.7;0;"2025-03-10 15:54"
"2024-08-01";"04:30 - 04:45";-67;406.3;-237.931;0;0;1788.1;0;593.7;-207.2;0;-116.7;0;"2025-03-10 15:54"
"2024-08-01";"04:45 - 05:00";-4.9;475.3;-118.446;0;0;1654.8;0;593.8;-127;0;-220.7;0;"2025-03-10 15:54"
"2024-08-01";"05:00 - 05:15";-107.7;354.8;-231.697;0;0;1622.5;0;593.7;-206.7;0;-234.2;0;"2025-03-10 15:54"
"2024-08-01";"05:15 - 05:30";-123;344.4;-255.594;0;0;1767.8;0;593.7;-202.1;0;-234.2;0;"2025-03-10 15:54"
"2024-08-01";"05:30 - 05:45";-205.9;377.9;-383.391;0;0;1647;0;593.7;-224.3;0;-234.1;0;"2025-03-10 15:54"
"2024-08-01";"05:45 - 06:00";-207;390.5;-411.444;0;0;1747.3;0;593.8;-181;0;-192.6;0;"2025-03-10 15:54"
"2024-08-01";"06:00 - 06:15";-219.3;429.3;-348.065;0;0;1827.1;0;593.8;-190.4;0;0;0;"2025-03-10 15:54"
"2024-08-01";"06:15 - 06:30";-201.8;446.9;-302.349;0;0;1887.8;0;593.9;-140.3;0;0;0;"2025-03-10 15:54"
"2024-08-01";"06:30 - 06:45";-231.6;399.5;-333.519;0;0;1913;0;593.9;-179.4;0;0;0;"2025-03-10 15:54"
"2024-08-01";"06:45 - 07:00";-199.1;401.9;-263.906;0;0;1715.5;0;592.2;-118.6;0;0;0;"2025-03-10 15:54"
"2024-08-01";"07:00 - 07:15";-297;179.2;-527.812;0;0;1321.7;0;591.8;-205.9;0;0;0;"2025-03-10 15:54"
"2024-08-01";"07:15 - 07:30";-328.2;174.3;-497.681;0;0;1150.9;0;592.2;-186.8;0;0;0;"2025-03-10 15:54"
"2024-08-01";"07:30 - 07:45";-273;199.4;-388.586;0;0;1168.8;0;591.9;-131.1;0;0;0;"2025-03-10 15:54"
"2024-08-01";"07:45 - 08:00";-246.2;190.5;-345.987;0;0;1157.8;0;575.4;-122.8;0;0;0;"2025-03-10 15:54"
"2024-08-01";"08:00 - 08:15";-499;87.7;-601.581;0;0;723.1;0;556.8;-202.5;0;0;0;"2025-03-10 15:54"
"2024-08-01";"08:15 - 08:30";-496.2;97.4;-517.422;0;0;666.5;0;556.9;-164.8;0;0;0;"2025-03-10 15:54"
"2024-08-01";"08:30 - 08:45";-514.8;75.3;-507.032;0;-85.9;614.9;0;556.7;-156.8;0;0;0;"2025-03-10 15:54"
"2024-08-01";"08:45 - 09:00";-511.6;68.9;-547.553;0;-129.7;637.4;0;553.8;-187.4;0;0;0;"2025-03-10 15:54"
"2024-08-01";"09:00 - 09:15";-861;0;-781.328;0;-400.7;337.6;0;553.5;-248.1;0;0;0;"2025-03-10 15:54"
"2024-08-01";"09:15 - 09:30";-758.9;11.9;-650.414;0;-364.4;375.2;0;553.6;-204.1;0;0;0;"2025-03-10 15:54"
"2024-08-01";"09:30 - 09:45";-713.5;6.9;-630.673;0;-440.2;291.6;0;553.8;-170.1;0;0;0;"2025-03-10 15:54"
"2024-08-01";"09:45 - 10:00";-779.8;5.4;-664.96;0;-399.3;384.2;0;572.1;-222.2;0;0;0;"2025-03-10 15:54"
"2024-08-01";"10:00 - 10:15";-817;0;-648.336;0;-342.7;354.3;0;593.6;-171.2;0;0;0;"2025-03-10 15:54"
