Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-07-01";"00:00 - 00:15";14450;14267.871;"2025-02-02 19:49"
"2024-07-01";"00:15 - 00:30";14250;14121.007;"2025-02-02 19:49"
"2024-07-01";"00:30 - 00:45";14000;13913.694;"2025-02-02 19:49"
"2024-07-01";"00:45 - 01:00";13900;13981.574;"2025-02-02 19:49"
"2024-07-01";"01:00 - 01:15";13800;13944.754;"2025-02-02 19:49"
"2024-07-01";"01:15 - 01:30";13700;13977.994;"2025-02-02 19:49"
"2024-07-01";"01:30 - 01:45";13650;13696.034;"2025-02-02 19:49"
"2024-07-01";"01:45 - 02:00";13550;13539.294;"2025-02-02 19:49"
"2024-07-01";"02:00 - 02:15";13500;13455.713;"2025-02-02 19:49"
"2024-07-01";"02:15 - 02:30";13400;13435.362;"2025-02-02 19:49"
"2024-07-01";"02:30 - 02:45";13400;13239.539;"2025-02-02 19:49"
"2024-07-01";"02:45 - 03:00";13400;13359.135;"2025-02-02 19:49"
"2024-07-01";"03:00 - 03:15";13400;13227.002;"2025-02-02 19:49"
"2024-07-01";"03:15 - 03:30";13400;13290.661;"2025-02-02 19:49"
"2024-07-01";"03:30 - 03:45";13400;13188.196;"2025-02-02 19:49"
"2024-07-01";"03:45 - 04:00";13350;13355.396;"2025-02-02 19:49"
"2024-07-01";"04:00 - 04:15";13300;12947.527;"2025-02-02 19:49"
"2024-07-01";"04:15 - 04:30";13250;13265.753;"2025-02-02 19:49"
"2024-07-01";"04:30 - 04:45";13350;13542.12;"2025-02-02 19:49"
"2024-07-01";"04:45 - 05:00";13500;13461.529;"2025-02-02 19:49"
"2024-07-01";"05:00 - 05:15";13800;13702.772;"2025-02-02 19:49"
"2024-07-01";"05:15 - 05:30";14100;14074.221;"2025-02-02 19:49"
"2024-07-01";"05:30 - 05:45";14550;14375.671;"2025-02-02 19:49"
"2024-07-01";"05:45 - 06:00";15250;15151.824;"2025-02-02 19:49"
"2024-07-01";"06:00 - 06:15";16250;16314.708;"2025-02-02 19:49"
"2024-07-01";"06:15 - 06:30";17050;16934.035;"2025-02-02 19:49"
"2024-07-01";"06:30 - 06:45";17650;17405.98;"2025-02-02 19:49"
"2024-07-01";"06:45 - 07:00";18150;17966.572;"2025-02-02 19:49"
"2024-07-01";"07:00 - 07:15";18700;18396.953;"2025-02-02 19:49"
"2024-07-01";"07:15 - 07:30";19250;18865.559;"2025-02-02 19:49"
"2024-07-01";"07:30 - 07:45";19500;19452.338;"2025-02-02 19:49"
"2024-07-01";"07:45 - 08:00";19800;19635.535;"2025-02-02 19:49"
"2024-07-01";"08:00 - 08:15";20100;20155.883;"2025-02-02 19:49"
"2024-07-01";"08:15 - 08:30";20300;20328.684;"2025-02-02 19:49"
"2024-07-01";"08:30 - 08:45";20350;20384.168;"2025-02-02 19:49"
"2024-07-01";"08:45 - 09:00";20350;20498.46;"2025-02-02 19:49"
"2024-07-01";"09:00 - 09:15";20400;20438.977;"2025-02-02 19:49"
"2024-07-01";"09:15 - 09:30";20350;20483.91;"2025-02-02 19:49"
"2024-07-01";"09:30 - 09:45";20250;20825.635;"2025-02-02 19:49"
"2024-07-01";"09:45 - 10:00";20100;20244.215;"2025-02-02 19:49"
"2024-07-01";"10:00 - 10:15";20000;20429.93;"2025-02-02 19:49"
"2024-07-01";"10:15 - 10:30";20300;20753.865;"2025-02-02 19:49"
"2024-07-01";"10:30 - 10:45";20450;21291.049;"2025-02-02 19:49"
"2024-07-01";"10:45 - 11:00";20550;21357.688;"2025-02-02 19:49"
"2024-07-01";"11:00 - 11:15";20600;21151.627;"2025-02-02 19:49"
"2024-07-01";"11:15 - 11:30";20650;21213.922;"2025-02-02 19:49"
"2024-07-01";"11:30 - 11:45";20700;21258.623;"2025-02-02 19:49"
"2024-07-01";"11:45 - 12:00";20650;21871.86;"2025-02-02 19:49"
"2024-07-01";"12:00 - 12:15";20800;21455.05;"2025-02-02 19:49"
"2024-07-01";"12:15 - 12:30";20800;21245.275;"2025-02-02 19:49"
"2024-07-01";"12:30 - 12:45";20800;21314.232;"2025-02-02 19:49"
"2024-07-01";"12:45 - 13:00";20750;21098.92;"2025-02-02 19:49"
"2024-07-01";"13:00 - 13:15";20900;21032.648;"2025-02-02 19:49"
"2024-07-01";"13:15 - 13:30";20800;21212.531;"2025-02-02 19:49"
"2024-07-01";"13:30 - 13:45";20600;20968.41;"2025-02-02 19:49"
"2024-07-01";"13:45 - 14:00";20250;20235.68;"2025-02-02 19:49"
"2024-07-01";"14:00 - 14:15";20400;19978.422;"2025-02-02 19:49"
"2024-07-01";"14:15 - 14:30";20550;20545.314;"2025-02-02 19:49"
"2024-07-01";"14:30 - 14:45";20550;20562.668;"2025-02-02 19:49"
"2024-07-01";"14:45 - 15:00";20500;19989.633;"2025-02-02 19:49"
"2024-07-01";"15:00 - 15:15";20400;20428.053;"2025-02-02 19:49"
"2024-07-01";"15:15 - 15:30";20450;20429.135;"2025-02-02 19:49"
"2024-07-01";"15:30 - 15:45";20400;20371.217;"2025-02-02 19:49"
"2024-07-01";"15:45 - 16:00";20350;19673.66;"2025-02-02 19:49"
"2024-07-01";"16:00 - 16:15";20350;19659.254;"2025-02-02 19:49"
"2024-07-01";"16:15 - 16:30";20400;20153.4;"2025-02-02 19:49"
"2024-07-01";"16:30 - 16:45";20500;20298.752;"2025-02-02 19:49"
"2024-07-01";"16:45 - 17:00";20500;20449.064;"2025-02-02 19:49"
"2024-07-01";"17:00 - 17:15";20400;20432.025;"2025-02-02 19:49"
"2024-07-01";"17:15 - 17:30";20400;20673.795;"2025-02-02 19:49"
"2024-07-01";"17:30 - 17:45";20400;20150.031;"2025-02-02 19:49"
"2024-07-01";"17:45 - 18:00";20150;20140.479;"2025-02-02 19:49"
"2024-07-01";"18:00 - 18:15";20200;19983.277;"2025-02-02 19:49"
"2024-07-01";"18:15 - 18:30";20300;20476.547;"2025-02-02 19:49"
"2024-07-01";"18:30 - 18:45";20450;20315.33;"2025-02-02 19:49"
"2024-07-01";"18:45 - 19:00";20450;20292.293;"2025-02-02 19:49"
"2024-07-01";"19:00 - 19:15";20400;20377.115;"2025-02-02 19:49"
"2024-07-01";"19:15 - 19:30";20450;19981.81;"2025-02-02 19:49"
"2024-07-01";"19:30 - 19:45";20600;20181.832;"2025-02-02 19:49"
"2024-07-01";"19:45 - 20:00";20500;20195.787;"2025-02-02 19:49"
"2024-07-01";"20:00 - 20:15";20550;20040.295;"2025-02-02 19:49"
"2024-07-01";"20:15 - 20:30";20450;19926.133;"2025-02-02 19:49"
"2024-07-01";"20:30 - 20:45";20400;19935.299;"2025-02-02 19:49"
"2024-07-01";"20:45 - 21:00";20250;19830.229;"2025-02-02 19:49"
"2024-07-01";"21:00 - 21:15";20050;19463.96;"2025-02-02 19:49"
"2024-07-01";"21:15 - 21:30";19850;19494.129;"2025-02-02 19:49"
"2024-07-01";"21:30 - 21:45";19600;19129.19;"2025-02-02 19:49"
"2024-07-01";"21:45 - 22:00";19000;18580.088;"2025-02-02 19:49"
"2024-07-01";"22:00 - 22:15";18800;18640.146;"2025-02-02 19:49"
"2024-07-01";"22:15 - 22:30";18500;18315.268;"2025-02-02 19:49"
"2024-07-01";"22:30 - 22:45";18150;18018.195;"2025-02-02 19:49"
"2024-07-01";"22:45 - 23:00";17750;17678.125;"2025-02-02 19:49"
"2024-07-01";"23:00 - 23:15";17400;17340.887;"2025-02-02 19:49"
"2024-07-01";"23:15 - 23:30";17050;16927.598;"2025-02-02 19:49"
"2024-07-01";"23:30 - 23:45";16650;16478.943;"2025-02-02 19:49"
"2024-07-01";"23:45 - 24:00";16300;16180.803;"2025-02-02 19:49"
"2024-07-02";"00:00 - 00:15";15900;15731.197;"2025-02-02 19:49"
"2024-07-02";"00:15 - 00:30";15600;15451.915;"2025-02-02 19:49"
"2024-07-02";"00:30 - 00:45";15400;15319.449;"2025-02-02 19:49"
"2024-07-02";"00:45 - 01:00";15200;15245.356;"2025-02-02 19:49"
"2024-07-02";"01:00 - 01:15";15050;15120.462;"2025-02-02 19:49"
"2024-07-02";"01:15 - 01:30";14900;15099.66;"2025-02-02 19:49"
"2024-07-02";"01:30 - 01:45";14800;14783.936;"2025-02-02 19:49"
"2024-07-02";"01:45 - 02:00";14600;14869.8;"2025-02-02 19:49"
"2024-07-02";"02:00 - 02:15";14550;14540.689;"2025-02-02 19:49"
"2024-07-02";"02:15 - 02:30";14500;14600.852;"2025-02-02 19:49"
"2024-07-02";"02:30 - 02:45";14500;14536.788;"2025-02-02 19:49"
"2024-07-02";"02:45 - 03:00";14450;14673.801;"2025-02-02 19:49"
"2024-07-02";"03:00 - 03:15";14450;14612.759;"2025-02-02 19:49"
