Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20170209;6;19900;19285,900
20170209;7;22950;21763,050
20170209;8;24050;23473,400
20170209;9;24950;24539,813
20170209;10;24950;25022,900
20170209;11;25150;25002,575
20170209;12;25200;25279,563
20170209;13;25550;25212,125
20170209;14;25550;25261,725
20170209;15;25100;24772,988
20170209;16;24600;24358,550
20170209;17;25400;24409,313
20170209;18;25850;25387,263
20170209;19;25650;25284,875
20170209;20;25450;25080,638
20170209;21;24500;24376,513
20170209;22;23100;22845,250
20170209;23;21400;21494,000
20170209;24;20100;20096,213
20170210;1;18800;19003,050
20170210;2;18200;18456,838
20170210;3;17900;18097,525
20170210;4;18100;18037,138
20170210;5;18500;18389,313
20170210;6;20000;19109,038
20170210;7;22850;21455,013
20170210;8;24050;22976,513
20170210;9;25050;24026,588
20170210;10;25200;24388,863
20170210;11;25150;24407,675
20170210;12;25200;24495,100
20170210;13;25450;24371,725
20170210;14;25450;24299,288
20170210;15;24900;23749,213
20170210;16;24400;23296,775
20170210;17;25000;23317,463
20170210;18;25650;24793,813
20170210;19;25450;24674,238
20170210;20;25250;24477,738
20170210;21;24500;23766,450
20170210;22;23100;22251,125
20170210;23;21400;20893,363
20170210;24;20100;19678,200
20170211;1;18300;18576,925
20170211;2;17500;17983,250
20170211;3;17200;17661,550
20170211;4;17100;17483,963
20170211;5;17100;17595,688
20170211;6;17500;17784,813
20170211;7;18700;18488,625
20170211;8;19400;19209,238
20170211;9;20700;20623,763
20170211;10;21300;21561,988
20170211;11;21700;21909,913
20170211;12;21700;22041,313
20170211;13;21600;21727,475
20170211;14;21600;21545,363
20170211;15;20800;20888,738
20170211;16;20600;20506,463
20170211;17;21700;20751,175
20170211;18;22000;22145,063
20170211;19;21800;22211,025
20170211;20;21500;21911,700
20170211;21;21000;21422,675
20170211;22;19700;20222,313
20170211;23;18700;19223,525
20170211;24;17500;18061,200
20170212;1;16500;16972,100
20170212;2;15800;16374,350
20170212;3;15500;16065,838
20170212;4;15300;15981,063
20170212;5;15400;15942,538
20170212;6;15500;16053,463
20170212;7;15900;16259,025
20170212;8;16500;16613,950
20170212;9;17500;17583,875
20170212;10;18400;18500,200
20170212;11;18700;19216,613
20170212;12;18800;19398,425
20170212;13;18900;19507,563
20170212;14;18900;19706,750
20170212;15;18400;19255,313
20170212;16;18200;18826,738
20170212;17;19400;18957,275
20170212;18;20400;20496,900
20170212;19;20500;21031,863
20170212;20;20600;21055,288
20170212;21;20100;20492,338
20170212;22;19100;19544,013
20170212;23;18200;18767,313
20170212;24;17100;17687,263
20170213;1;16500;16760,175
20170213;2;16000;16428,488
20170213;3;15800;16372,300
20170213;4;15900;16529,913
20170213;5;16400;16866,838
20170213;6;18200;17990,638
20170213;7;21500;20869,425
20170213;8;22800;22885,425
20170213;9;23800;24257,513
20170213;10;24100;24748,038
20170213;11;24300;24844,650
20170213;12;24500;25065,250
20170213;13;24600;24998,875
20170213;14;24700;25091,300
20170213;15;24300;24516,488
20170213;16;23800;24066,238
20170213;17;24700;24041,350
20170213;18;25000;25150,688
20170213;19;24800;25320,488
20170213;20;24700;25217,738
20170213;21;23900;24445,013
20170213;22;22300;22946,050
20170213;23;20800;21453,575
20170213;24;19500;20136,888
20170214;1;18400;19073,100
20170214;2;17800;18512,300
20170214;3;17500;18095,775
20170214;4;17500;18282,025
20170214;5;17900;18544,975
20170214;6;19200;19475,663
20170214;7;22000;21663,488
20170214;8;23200;23367,850
20170214;9;24000;24559,975
20170214;10;24100;24898,475
20170214;11;24200;24690,713
20170214;12;24300;24676,438
20170214;13;24400;24347,750
20170214;14;24600;24385,063
20170214;15;24100;23866,963
20170214;16;23700;23307,375
20170214;17;23900;23260,388
20170214;18;24850;24516,725
20170214;19;24900;24840,213
20170214;20;24700;24736,163
20170214;21;23900;23941,738
20170214;22;22400;22460,488
20170214;23;20900;20956,150
20170214;24;19400;19685,763
20170215;1;18700;18658,350
20170215;2;18100;18149,275
20170215;3;17900;17798,725
20170215;4;17900;17944,575
20170215;5;18300;18194,563
20170215;6;19500;18955,100
20170215;7;22300;21263,338
20170215;8;23700;22849,288
20170215;9;24500;23940,800
20170215;10;24700;24212,413
20170215;11;24600;24005,788
20170215;12;24600;23946,588
20170215;13;24400;23772,588
20170215;14;24500;23754,700
20170215;15;23900;23312,613
20170215;16;23400;22862,400
20170215;17;23800;22923,713
20170215;18;24700;24208,063
20170215;19;24700;24553,863
20170215;20;24500;24437,038
20170215;21;23800;23602,663
20170215;22;22300;22065,425
20170215;23;20900;20589,425
20170215;24;19400;19191,550
20170216;1;18500;18231,775
20170216;2;17900;17693,013
20170216;3;17500;17314,125
20170216;4;17700;17300,450
20170216;5;18200;17546,125
20170216;6;19600;18373,688
20170216;7;22200;20694,013
20170216;8;23700;22405,688
20170216;9;24400;23425,250
20170216;10;24400;23555,138
20170216;11;24300;23407,613
20170216;12;24400;23441,638
20170216;13;24200;23216,113
20170216;14;24300;23221,525
20170216;15;23800;22797,875
20170216;16;23300;22442,363
20170216;17;23700;22439,825
20170216;18;24600;23813,988
20170216;19;24600;24218,800
20170216;20;24500;24179,750
20170216;21;23800;23400,763
20170216;22;22200;21897,838
20170216;23;20800;20438,613
20170216;24;19300;19096,675
20170217;1;18100;18129,375
20170217;2;17600;17504,050
20170217;3;17300;17142,363
20170217;4;17400;17197,413
20170217;5;17900;17433,988
20170217;6;19300;18138,988
20170217;7;22100;20436,475
20170217;8;23600;22002,663
20170217;9;24200;23132,250
20170217;10;24200;23629,825
20170217;11;24100;23658,575
20170217;12;24400;24037,775
20170217;13;24400;24034,038
20170217;14;24500;24179,975
20170217;15;24000;23746,725
20170217;16;23500;23300,125
20170217;17;23900;23185,900
20170217;18;24800;24129,025
20170217;19;24800;24279,713
20170217;20;24700;24013,513
20170217;21;23800;23224,825
20170217;22;22200;21654,338
20170217;23;20900;20156,600
20170217;24;19400;18927,963
20170218;1;17700;17882,800
20170218;2;17000;17266,850
20170218;3;16600;16855,425
20170218;4;16500;16757,975
20170218;5;16500;16897,100
20170218;6;16700;17063,763
20170218;7;17700;17744,850
20170218;8;18900;18611,188
20170218;9;20100;19988,950
20170218;10;20800;21003,200
20170218;11;21000;21404,913
20170218;12;21100;21566,888
20170218;13;21000;21411,138
20170218;14;21100;21336,575
20170218;15;20400;20716,463
20170218;16;20100;20232,488
20170218;17;20300;20272,038
20170218;18;21300;21137,575
20170218;19;21300;21456,850
20170218;20;21100;21136,300
20170218;21;20400;20486,563
20170218;22;19100;19291,463
20170218;23;18100;18198,125
20170218;24;17000;17015,738
20170219;1;16100;16099,713
20170219;2;15600;15475,550
20170219;3;15200;15124,938
20170219;4;15100;14996,463
20170219;5;15100;15049,750
20170219;6;15300;15182,150
20170219;7;15500;15197,538
20170219;8;16200;15525,375
20170219;9;17200;16565,588
20170219;10;18100;17435,650
20170219;11;18600;18084,025
20170219;12;18700;18269,150
20170219;13;18800;18391,250
20170219;14;18900;18446,838
20170219;15;18500;18135,975
20170219;16;18100;17736,950
20170219;17;18700;17740,575
20170219;18;20100;19026,088
20170219;19;20300;19786,163
20170219;20;20300;19908,888
20170219;21;19600;19432,513
20170219;22;18700;18586,825
20170219;23;17900;17785,575
20170219;24;16700;16659,963
20170220;1;15700;15873,875
20170220;2;15400;15345,800
20170220;3;15200;15169,475
20170220;4;15300;15259,100
20170220;5;15900;15630,213
20170220;6;17800;16707,063
20170220;7;20400;19360,925
20170220;8;22000;21499,825
20170220;9;22800;22766,775
20170220;10;23200;23276,888
20170220;11;23400;23122,000
20170220;12;23400;23380,375
20170220;13;23500;23317,688
20170220;14;23600;23349,300
20170220;15;23100;23027,075
20170220;16;22600;22552,475
20170220;17;23100;22463,850
20170220;18;24100;23368,350
20170220;19;24000;23699,688
20170220;20;23800;23554,388
20170220;21;23100;22850,150
20170220;22;21600;21313,138
20170220;23;20100;19815,488
20170220;24;18700;18398,300
20170221;1;17900;17396,575
20170221;2;17300;16899,263
20170221;3;17000;16528,338
20170221;4;17100;16499,938
20170221;5;17600;16748,425
20170221;6;18800;17683,388
20170221;7;21200;19800,563
20170221;8;22500;21488,438
20170221;9;23300;22618,088
20170221;10;23400;23032,400
20170221;11;23500;23106,888
20170221;12;23500;23334,588
20170221;13;23600;23438,538
20170221;14;23700;23515,250
20170221;15;23200;23132,175
20170221;16;22700;22786,325
20170221;17;23100;22608,150
20170221;18;24100;23510,213
20170221;19;24100;23828,863
20170221;20;24100;23585,238
20170221;21;23100;22934,313
20170221;22;21500;21398,500
20170221;23;20000;19900,150
20170221;24;18700;18609,588
20170222;1;17700;17497,225
20170222;2;17100;16983,738
20170222;3;16800;16739,338
20170222;4;16800;16685,925
20170222;5;17300;16893,925
20170222;6;18700;17668,900
20170222;7;21200;19788,888
20170222;8;22700;21566,263
20170222;9;23500;22602,800
20170222;10;23600;23028,638
20170222;11;23700;23008,388
20170222;12;23800;23274,238
20170222;13;23900;23358,050
20170222;14;24000;23521,100
20170222;15;23500;23154,113
20170222;16;22900;22800,225
20170222;17;23000;22643,300
20170222;18;24200;23459,588
20170222;19;24200;23716,175
20170222;20;24200;23502,975
20170222;21;23200;22904,100
20170222;22;21700;21337,363
20170222;23;20200;19911,663
20170222;24;18800;18676,513
20170223;1;17600;17673,100
20170223;2;17000;16975,425
20170223;3;16700;16666,400
20170223;4;16700;16652,063
20170223;5;17200;16942,413
20170223;6;18800;17774,013
20170223;7;21200;19737,413
20170223;8;22800;21504,300
20170223;9;23500;22610,713
20170223;10;23600;22892,250
20170223;11;23600;22886,000
20170223;12;23700;22994,163
20170223;13;23900;23000,150
20170223;14;23900;23143,338
20170223;15;23500;22755,050
20170223;16;23000;22500,188
20170223;17;23300;22393,238
20170223;18;24200;23296,750
20170223;19;24200;23625,975
20170223;20;24200;23430,250
20170223;21;23200;22782,075
20170223;22;21600;21282,988
20170223;23;20100;19701,325
20170223;24;18700;18382,300
20170224;1;17800;17392,313
20170224;2;17100;16726,925
20170224;3;16850;16312,850
20170224;4;16900;16348,738
20170224;5;17400;16732,613
20170224;6;18700;17408,213
20170224;7;21300;19395,450
20170224;8;22600;21106,550
20170224;9;23450;22249,150
20170224;10;23500;22739,175
20170224;11;23600;22721,113
20170224;12;23700;22895,900
20170224;13;23800;23018,300
20170224;14;23900;23218,500
20170224;15;23450;22843,338
20170224;16;22950;22437,138
20170224;17;23250;22466,663
20170224;18;24150;23358,888
20170224;19;24200;23866,600
20170224;20;24050;23608,600
20170224;21;23150;22956,400
20170224;22;21600;21370,400
20170224;23;20100;19930,475
20170224;24;18800;18865,613
20170225;1;17900;17751,200
20170225;2;17200;17012,325
20170225;3;16800;16576,363
20170225;4;16700;16491,150
20170225;5;16800;16499,813
20170225;6;17100;16677,275
20170225;7;18000;17310,175
20170225;8;19300;18220,088
20170225;9;20650;19614,763
20170225;10;21150;20514,200
20170225;11;21300;20789,025
20170225;12;21300;20785,738
20170225;13;21100;20492,238
20170225;14;21000;20334,513
20170225;15;20300;19699,625
20170225;16;19850;19232,763
20170225;17;20100;19278,288
20170225;18;21300;20285,438
20170225;19;21300;21194,150
20170225;20;21100;20822,125
20170225;21;20400;20241,425
20170225;22;19100;19059,575
20170225;23;18150;17994,938
20170225;24;16900;17012,013
20170226;1;15900;15979,825
20170226;2;15300;15416,200
20170226;3;15000;14940,475
20170226;4;14900;14752,300
20170226;5;14900;14802,900
20170226;6;15000;14947,163
20170226;7;15400;14913,625
20170226;8;16100;15373,238
20170226;9;17100;16224,875
20170226;10;17900;17206,425
20170226;11;18350;17797,938
20170226;12;18500;18106,625
20170226;13;18500;18208,900
20170226;14;18600;18408,513
20170226;15;18200;18026,950
20170226;16;17750;17604,050
20170226;17;18000;17571,988
20170226;18;19700;18474,588
20170226;19;20100;19434,363
20170226;20;20200;19589,738
20170226;21;19700;19056,450
20170226;22;18900;18073,388
20170226;23;18000;17184,363
20170226;24;16800;16239,188
20170227;1;15700;15356,763
20170227;2;15200;15009,038
20170227;3;15100;14816,400
20170227;4;15300;14945,638
20170227;5;15900;15254,438
20170227;6;17700;16377,088
20170227;7;20600;18865,163
20170227;8;22200;20980,338
20170227;9;23050;22161,975
20170227;10;23350;22376,513
20170227;11;23400;22171,463
20170227;12;23400;22326,638
20170227;13;23500;22196,063
20170227;14;23600;22204,813
20170227;15;23250;21778,888
20170227;16;22700;21344,413
20170227;17;22700;21251,288
20170227;18;23800;22269,188
20170227;19;23900;23085,713
20170227;20;23850;23010,200
20170227;21;23100;22405,350
20170227;22;21500;20761,038
20170227;23;19900;19210,675
20170227;24;18500;17880,663
20170228;1;17600;16916,938
20170228;2;17000;16284,413
20170228;3;16650;15968,950
20170228;4;16800;16129,038
20170228;5;17300;16438,650
20170228;6;18500;17106,863
20170228;7;20850;19222,688
20170228;8;22250;21111,088
20170228;9;23050;22112,188
20170228;10;23250;22219,800
20170228;11;23300;21988,325
20170228;12;23350;22180,838
20170228;13;23600;22210,888
20170228;14;23800;22404,375
20170228;15;23200;22041,575
20170228;16;22700;21801,913
20170228;17;22700;21609,050
20170228;18;23800;22417,775
20170228;19;24100;23243,388
20170228;20;23900;23239,113
20170228;21;23100;22633,250
20170228;22;21700;21125,038
20170228;23;20100;19465,763
20170228;24;18600;18184,563
