Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-08-01";"00:00 - 00:15";15500;15659.135;"2025-02-02 19:50"
"2024-08-01";"00:15 - 00:30";15200;15296.979;"2025-02-02 19:50"
"2024-08-01";"00:30 - 00:45";15000;15019.609;"2025-02-02 19:50"
"2024-08-01";"00:45 - 01:00";14800;14630.906;"2025-02-02 19:50"
"2024-08-01";"01:00 - 01:15";14700;14817.995;"2025-02-02 19:50"
"2024-08-01";"01:15 - 01:30";14600;14460.235;"2025-02-02 19:50"
"2024-08-01";"01:30 - 01:45";14400;14551.292;"2025-02-02 19:50"
"2024-08-01";"01:45 - 02:00";14200;14306.906;"2025-02-02 19:50"
"2024-08-01";"02:00 - 02:15";14150;14121.106;"2025-02-02 19:50"
"2024-08-01";"02:15 - 02:30";14100;14317.363;"2025-02-02 19:50"
"2024-08-01";"02:30 - 02:45";14050;14244.7;"2025-02-02 19:50"
"2024-08-01";"02:45 - 03:00";14050;14286.483;"2025-02-02 19:50"
"2024-08-01";"03:00 - 03:15";14050;14238.807;"2025-02-02 19:50"
"2024-08-01";"03:15 - 03:30";14050;14125.527;"2025-02-02 19:50"
"2024-08-01";"03:30 - 03:45";14100;14290.291;"2025-02-02 19:50"
"2024-08-01";"03:45 - 04:00";14200;14058.164;"2025-02-02 19:50"
"2024-08-01";"04:00 - 04:15";14200;14323.144;"2025-02-02 19:50"
"2024-08-01";"04:15 - 04:30";14200;14390.47;"2025-02-02 19:50"
"2024-08-01";"04:30 - 04:45";14200;14276.768;"2025-02-02 19:50"
"2024-08-01";"04:45 - 05:00";14100;14256.828;"2025-02-02 19:50"
"2024-08-01";"05:00 - 05:15";14250;14639.419;"2025-02-02 19:50"
"2024-08-01";"05:15 - 05:30";14350;14614.668;"2025-02-02 19:50"
"2024-08-01";"05:30 - 05:45";14600;14730.87;"2025-02-02 19:50"
"2024-08-01";"05:45 - 06:00";15100;15249.251;"2025-02-02 19:50"
"2024-08-01";"06:00 - 06:15";16050;16266.945;"2025-02-02 19:50"
"2024-08-01";"06:15 - 06:30";16550;16910.812;"2025-02-02 19:50"
"2024-08-01";"06:30 - 06:45";17050;17371.115;"2025-02-02 19:50"
"2024-08-01";"06:45 - 07:00";17550;17823.443;"2025-02-02 19:50"
"2024-08-01";"07:00 - 07:15";18100;18244.986;"2025-02-02 19:50"
"2024-08-01";"07:15 - 07:30";18550;18587.758;"2025-02-02 19:50"
"2024-08-01";"07:30 - 07:45";18800;19026.934;"2025-02-02 19:50"
"2024-08-01";"07:45 - 08:00";19050;19157.861;"2025-02-02 19:50"
"2024-08-01";"08:00 - 08:15";19300;19639.979;"2025-02-02 19:50"
"2024-08-01";"08:15 - 08:30";19450;19776.73;"2025-02-02 19:50"
"2024-08-01";"08:30 - 08:45";19550;19898.072;"2025-02-02 19:50"
"2024-08-01";"08:45 - 09:00";19650;19909.326;"2025-02-02 19:50"
"2024-08-01";"09:00 - 09:15";19650;20199.172;"2025-02-02 19:50"
"2024-08-01";"09:15 - 09:30";19650;20209.986;"2025-02-02 19:50"
"2024-08-01";"09:30 - 09:45";19600;20056.492;"2025-02-02 19:50"
"2024-08-01";"09:45 - 10:00";19450;19921.271;"2025-02-02 19:50"
"2024-08-01";"10:00 - 10:15";19250;19824.475;"2025-02-02 19:50"
"2024-08-01";"10:15 - 10:30";19450;19852.207;"2025-02-02 19:50"
"2024-08-01";"10:30 - 10:45";19600;20189.467;"2025-02-02 19:50"
"2024-08-01";"10:45 - 11:00";19700;20456.607;"2025-02-02 19:50"
"2024-08-01";"11:00 - 11:15";19650;20368.523;"2025-02-02 19:50"
"2024-08-01";"11:15 - 11:30";19750;20310.646;"2025-02-02 19:50"
"2024-08-01";"11:30 - 11:45";19800;20171.371;"2025-02-02 19:50"
"2024-08-01";"11:45 - 12:00";19750;20184.887;"2025-02-02 19:50"
"2024-08-01";"12:00 - 12:15";19700;20268.021;"2025-02-02 19:50"
"2024-08-01";"12:15 - 12:30";19650;20119.264;"2025-02-02 19:50"
"2024-08-01";"12:30 - 12:45";19650;20397.357;"2025-02-02 19:50"
"2024-08-01";"12:45 - 13:00";19650;20280.902;"2025-02-02 19:50"
"2024-08-01";"13:00 - 13:15";19850;20275.559;"2025-02-02 19:50"
"2024-08-01";"13:15 - 13:30";19650;20239.068;"2025-02-02 19:50"
"2024-08-01";"13:30 - 13:45";19500;20132.121;"2025-02-02 19:50"
"2024-08-01";"13:45 - 14:00";19050;19628.213;"2025-02-02 19:50"
"2024-08-01";"14:00 - 14:15";19250;19869.723;"2025-02-02 19:50"
"2024-08-01";"14:15 - 14:30";19450;19944.904;"2025-02-02 19:50"
"2024-08-01";"14:30 - 14:45";19400;20339.604;"2025-02-02 19:50"
"2024-08-01";"14:45 - 15:00";19250;20103.434;"2025-02-02 19:50"
"2024-08-01";"15:00 - 15:15";19450;20071.213;"2025-02-02 19:50"
"2024-08-01";"15:15 - 15:30";19350;19706.7;"2025-02-02 19:50"
"2024-08-01";"15:30 - 15:45";19500;19859.861;"2025-02-02 19:50"
"2024-08-01";"15:45 - 16:00";19400;19795.287;"2025-02-02 19:50"
"2024-08-01";"16:00 - 16:15";19350;19639.816;"2025-02-02 19:50"
"2024-08-01";"16:15 - 16:30";19450;19630.412;"2025-02-02 19:50"
"2024-08-01";"16:30 - 16:45";19550;19899.598;"2025-02-02 19:50"
"2024-08-01";"16:45 - 17:00";19300;19552.615;"2025-02-02 19:50"
"2024-08-01";"17:00 - 17:15";19550;19660.459;"2025-02-02 19:50"
"2024-08-01";"17:15 - 17:30";19650;19690.781;"2025-02-02 19:50"
"2024-08-01";"17:30 - 17:45";19700;19678.883;"2025-02-02 19:50"
"2024-08-01";"17:45 - 18:00";19550;19345.967;"2025-02-02 19:50"
"2024-08-01";"18:00 - 18:15";19550;19535.932;"2025-02-02 19:50"
"2024-08-01";"18:15 - 18:30";19700;19738.936;"2025-02-02 19:50"
"2024-08-01";"18:30 - 18:45";19850;19728.773;"2025-02-02 19:50"
"2024-08-01";"18:45 - 19:00";19850;19740.795;"2025-02-02 19:50"
"2024-08-01";"19:00 - 19:15";19700;19638.182;"2025-02-02 19:50"
"2024-08-01";"19:15 - 19:30";19800;19780.908;"2025-02-02 19:50"
"2024-08-01";"19:30 - 19:45";19900;19880.414;"2025-02-02 19:50"
"2024-08-01";"19:45 - 20:00";19800;19807.89;"2025-02-02 19:50"
"2024-08-01";"20:00 - 20:15";19650;19677.41;"2025-02-02 19:50"
"2024-08-01";"20:15 - 20:30";19700;19746.008;"2025-02-02 19:50"
"2024-08-01";"20:30 - 20:45";19800;19753.521;"2025-02-02 19:50"
"2024-08-01";"20:45 - 21:00";19700;19751.193;"2025-02-02 19:50"
