Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-09-01";"00:00 - 00:15";14050;13946.717;"2025-02-02 19:51"
"2024-09-01";"00:15 - 00:30";13950;13768.65;"2025-02-02 19:51"
"2024-09-01";"00:30 - 00:45";13800;13505.766;"2025-02-02 19:51"
"2024-09-01";"00:45 - 01:00";13650;13405.163;"2025-02-02 19:51"
"2024-09-01";"01:00 - 01:15";13550;13116.297;"2025-02-02 19:51"
"2024-09-01";"01:15 - 01:30";13450;13092.018;"2025-02-02 19:51"
"2024-09-01";"01:30 - 01:45";13300;13004.034;"2025-02-02 19:51"
"2024-09-01";"01:45 - 02:00";13200;12787.851;"2025-02-02 19:51"
"2024-09-01";"02:00 - 02:15";13100;12736.953;"2025-02-02 19:51"
"2024-09-01";"02:15 - 02:30";13050;12842.971;"2025-02-02 19:51"
"2024-09-01";"02:30 - 02:45";12950;12674.553;"2025-02-02 19:51"
"2024-09-01";"02:45 - 03:00";12900;12608.682;"2025-02-02 19:51"
"2024-09-01";"03:00 - 03:15";12850;12587.189;"2025-02-02 19:51"
"2024-09-01";"03:15 - 03:30";12800;12736.479;"2025-02-02 19:51"
"2024-09-01";"03:30 - 03:45";12750;12516.278;"2025-02-02 19:51"
"2024-09-01";"03:45 - 04:00";12700;12489.276;"2025-02-02 19:51"
"2024-09-01";"04:00 - 04:15";12650;12501.794;"2025-02-02 19:51"
"2024-09-01";"04:15 - 04:30";12600;12621.786;"2025-02-02 19:51"
"2024-09-01";"04:30 - 04:45";12600;12570.622;"2025-02-02 19:51"
"2024-09-01";"04:45 - 05:00";12600;12717.027;"2025-02-02 19:51"
"2024-09-01";"05:00 - 05:15";12600;12777.86;"2025-02-02 19:51"
"2024-09-01";"05:15 - 05:30";12300;12469.715;"2025-02-02 19:51"
"2024-09-01";"05:30 - 05:45";12250;12411.975;"2025-02-02 19:51"
"2024-09-01";"05:45 - 06:00";12350;12300.749;"2025-02-02 19:51"
"2024-09-01";"06:00 - 06:15";12650;12537.197;"2025-02-02 19:51"
"2024-09-01";"06:15 - 06:30";12900;12454.773;"2025-02-02 19:51"
"2024-09-01";"06:30 - 06:45";13100;12639.746;"2025-02-02 19:51"
