Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20200701;1;16300;15829,588
20200701;2;15600;15237,525
20200701;3;15100;14918,350
20200701;4;15100;14809,800
20200701;5;14800;14421,913
20200701;6;15800;14831,125
20200701;7;18800;17090,113
20200701;8;20300;19193,200
20200701;9;21400;20347,325
20200701;10;21800;20946,000
20200701;11;22100;21043,763
20200701;12;22200;21453,088
20200701;13;22300;21688,475
20200701;14;22400;21621,225
20200701;15;21700;21260,400
20200701;16;21200;21304,088
20200701;17;20700;20926,988
20200701;18;20400;20605,538
20200701;19;20100;20352,388
20200701;20;20200;20551,763
20200701;21;20200;20275,013
20200701;22;20200;20098,788
20200701;23;19200;19007,375
20200701;24;17700;17488,400
20200702;1;16300;16364,088
20200702;2;15500;15675,275
20200702;3;15100;15257,800
20200702;4;15100;15185,488
20200702;5;14800;14922,763
20200702;6;16000;15138,550
20200702;7;18800;17418,700
20200702;8;20400;19586,688
20200702;9;21300;20777,688
20200702;10;21500;21286,538
20200702;11;21800;21484,625
20200702;12;22000;21807,813
20200702;13;22000;22019,163
20200702;14;21900;22039,700
20200702;15;21400;21651,900
20200702;16;21000;21526,375
20200702;17;20700;21117,988
20200702;18;20200;20683,750
20200702;19;20000;20392,338
20200702;20;20100;20548,963
20200702;21;20100;20438,163
20200702;22;20000;20155,638
20200702;23;18900;19175,413
20200702;24;17400;17792,350
20200703;1;15800;16455,713
20200703;2;15200;15742,463
20200703;3;14800;15433,563
20200703;4;14800;15254,813
20200703;5;14300;14956,088
20200703;6;15500;15309,600
20200703;7;18700;17450,113
20200703;8;20400;19439,213
20200703;9;21200;20631,038
20200703;10;21400;21262,425
20200703;11;21700;21282,825
20200703;12;21900;21770,375
20200703;13;21900;21942,988
20200703;14;21900;21616,138
20200703;15;21400;21140,925
20200703;16;21000;20900,200
20200703;17;20600;20561,513
20200703;18;20300;20197,900
20200703;19;20000;19876,563
20200703;20;20000;19881,175
20200703;21;20050;19725,788
20200703;22;19900;19401,863
20200703;23;19000;18611,925
20200703;24;17500;17272,325
20200704;1;15800;16055,413
20200704;2;15000;15245,213
20200704;3;14600;14789,463
20200704;4;14400;14496,625
20200704;5;13800;13867,338
20200704;6;13900;13767,225
20200704;7;15450;14774,300
20200704;8;17050;16147,175
20200704;9;18350;17423,575
20200704;10;18950;18173,925
20200704;11;19250;18585,038
20200704;12;19350;18750,800
20200704;13;19200;18404,625
20200704;14;18950;18136,600
20200704;15;18350;17480,163
20200704;16;17850;17160,075
20200704;17;17550;16823,888
20200704;18;17350;16761,300
20200704;19;17250;16789,363
20200704;20;17350;16875,813
20200704;21;17250;16761,138
20200704;22;17250;16858,650
20200704;23;16700;16319,050
20200704;24;15600;15120,263
20200705;1;14300;14066,738
20200705;2;13500;13481,775
20200705;3;13200;13060,025
20200705;4;12900;12789,125
20200705;5;12400;12324,850
20200705;6;12400;12132,338
20200705;7;13300;12602,938
20200705;8;14200;13458,463
20200705;9;15300;14206,788
20200705;10;15900;15093,063
20200705;11;16200;15475,575
20200705;12;16300;15604,463
20200705;13;16400;15794,713
20200705;14;16400;15707,038
20200705;15;16100;15443,238
20200705;16;15800;15159,788
20200705;17;15500;15081,050
20200705;18;15500;15109,688
20200705;19;15800;15491,075
20200705;20;16100;15841,313
20200705;21;16300;15988,688
20200705;22;16600;16481,038
20200705;23;16300;16311,488
20200705;24;15100;15050,738
20200706;1;14300;14196,500
20200706;2;13800;13768,675
20200706;3;13500;13579,975
20200706;4;13500;13498,213
20200706;5;13300;13321,575
20200706;6;14900;14022,325
20200706;7;18000;16955,888
20200706;8;19700;19319,563
20200706;9;20700;20626,588
20200706;10;21000;21254,613
20200706;11;21400;21421,563
20200706;12;21600;21828,675
20200706;13;21800;21786,313
