"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|SE4","Without sequence","102.48","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|SE4","Without sequence","154.96","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|SE4","Without sequence","163.92","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|SE4","Without sequence","167.07","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|SE4","Without sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|SE4","Without sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|SE4","Without sequence","164.5","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|SE4","Without sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|SE4","Without sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|SE4","Without sequence","167.73","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|SE4","Without sequence","166.61","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|SE4","Without sequence","170.72","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|SE4","Without sequence","168.93","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|SE4","Without sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|SE4","Without sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|SE4","Without sequence","131.05","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|SE4","Without sequence","114.27","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|SE4","Without sequence","93.66","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|SE4","Without sequence","82.88","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|SE4","Without sequence","78.84","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|SE4","Without sequence","69.93","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|SE4","Without sequence","69.26","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|SE4","Without sequence","71.75","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|SE4","Without sequence","81.73","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|SE4","Without sequence","80.11","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|SE4","Without sequence","83.33","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|SE4","Without sequence","86.27","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|SE4","Without sequence","85.37","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|SE4","Without sequence","75.95","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|SE4","Without sequence","81.71","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|SE4","Without sequence","80.89","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|SE4","Without sequence","79.72","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|SE4","Without sequence","80.22","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|SE4","Without sequence","79.74","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|SE4","Without sequence","80.82","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|SE4","Without sequence","86.16","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|SE4","Without sequence","72.28","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|SE4","Without sequence","66.61","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|SE4","Without sequence","62.13","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|SE4","Without sequence","57.26","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|SE4","Without sequence","37.94","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|SE4","Without sequence","30.82","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|SE4","Without sequence","30.03","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|SE4","Without sequence","28.15","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|SE4","Without sequence","27.68","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|SE4","Without sequence","27.76","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|SE4","Without sequence","28.63","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|SE4","Without sequence","39.8","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|SE4","Without sequence","62.7","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|SE4","Without sequence","85.53","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|SE4","Without sequence","93.54","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|SE4","Without sequence","107.92","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|SE4","Without sequence","128.75","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|SE4","Without sequence","139.64","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|SE4","Without sequence","139.99","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|SE4","Without sequence","142.58","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|SE4","Without sequence","149.4","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|SE4","Without sequence","155.2","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|SE4","Without sequence","168.59","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|SE4","Without sequence","190.03","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|SE4","Without sequence","190.0","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|SE4","Without sequence","173.71","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|SE4","Without sequence","160.05","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|SE4","Without sequence","148.62","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|SE4","Without sequence","141.17","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|SE4","Without sequence","127.0","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|SE4","Without sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|SE4","Without sequence","101.1","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|SE4","Without sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|SE4","Without sequence","82.34","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|SE4","Without sequence","81.93","",""
