"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|CZ","Without sequence","36.04","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|CZ","Without sequence","43.58","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|CZ","Without sequence","62.66","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|CZ","Without sequence","65.47","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|CZ","Without sequence","60.0","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|CZ","Without sequence","56.99","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|CZ","Without sequence","55.99","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|CZ","Without sequence","56.02","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|CZ","Without sequence","62.14","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|CZ","Without sequence","70.55","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|CZ","Without sequence","77.63","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|CZ","Without sequence","84.23","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|CZ","Without sequence","85.17","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|CZ","Without sequence","81.94","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|CZ","Without sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|CZ","Without sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|CZ","Without sequence","65.0","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|CZ","Without sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|CZ","Without sequence","57.3","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|CZ","Without sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|CZ","Without sequence","40.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|CZ","Without sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|CZ","Without sequence","35.0","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|CZ","Without sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|CZ","Without sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|CZ","Without sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|CZ","Without sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|CZ","Without sequence","94.2","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|CZ","Without sequence","91.83","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|CZ","Without sequence","90.27","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|CZ","Without sequence","86.5","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|CZ","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|CZ","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|CZ","Without sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|CZ","Without sequence","105.0","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|CZ","Without sequence","118.88","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|CZ","Without sequence","123.53","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|CZ","Without sequence","115.09","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|CZ","Without sequence","101.98","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|CZ","Without sequence","96.84","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|CZ","Without sequence","93.18","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|CZ","Without sequence","88.74","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|CZ","Without sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|CZ","Without sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|CZ","Without sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|CZ","Without sequence","73.1","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|CZ","Without sequence","73.53","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|CZ","Without sequence","75.73","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|CZ","Without sequence","87.56","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|CZ","Without sequence","95.84","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|CZ","Without sequence","98.14","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|CZ","Without sequence","97.74","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|CZ","Without sequence","96.88","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|CZ","Without sequence","98.37","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|CZ","Without sequence","94.62","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|CZ","Without sequence","97.01","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|CZ","Without sequence","103.06","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|CZ","Without sequence","105.83","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|CZ","Without sequence","108.14","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|CZ","Without sequence","111.5","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|CZ","Without sequence","110.41","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|CZ","Without sequence","106.7","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|CZ","Without sequence","102.71","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|CZ","Without sequence","95.54","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|CZ","Without sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|CZ","Without sequence","86.8","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|CZ","Without sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|CZ","Without sequence","80.2","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|CZ","Without sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|CZ","Without sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|CZ","Without sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|CZ","Without sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|CZ","Without sequence","75.1","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|CZ","Without sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|CZ","Without sequence","88.4","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|CZ","Without sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|CZ","Without sequence","97.3","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|CZ","Without sequence","100.47","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|CZ","Without sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|CZ","Without sequence","95.0","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|CZ","Without sequence","92.52","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|CZ","Without sequence","94.75","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|CZ","Without sequence","99.28","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|CZ","Without sequence","104.29","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|CZ","Without sequence","103.63","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|CZ","Without sequence","99.0","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|CZ","Without sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|CZ","Without sequence","88.0","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|CZ","Without sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|CZ","Without sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|CZ","Without sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|CZ","Without sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|CZ","Without sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|CZ","Without sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|CZ","Without sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|CZ","Without sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|CZ","Without sequence","74.9","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|CZ","Without sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|CZ","Without sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|CZ","Without sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|CZ","Without sequence","87.17","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|CZ","Without sequence","89.18","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|CZ","Without sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|CZ","Without sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|CZ","Without sequence","84.34","",""
