"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|CZ","Without sequence","4.84","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|CZ","Without sequence","-0.35","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|CZ","Without sequence","-0.97","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|CZ","Without sequence","-1.93","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|CZ","Without sequence","-3.07","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|CZ","Without sequence","-1.86","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|CZ","Without sequence","-3.44","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|CZ","Without sequence","-0.47","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|CZ","Without sequence","-0.3","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|CZ","Without sequence","0.26","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|CZ","Without sequence","0.69","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|CZ","Without sequence","1.17","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|CZ","Without sequence","1.34","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|CZ","Without sequence","1.53","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|CZ","Without sequence","5.78","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|CZ","Without sequence","23.72","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|CZ","Without sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|CZ","Without sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|CZ","Without sequence","53.99","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|CZ","Without sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|CZ","Without sequence","49.16","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|CZ","Without sequence","44.56","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|CZ","Without sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|CZ","Without sequence","35.0","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|CZ","Without sequence","63.02","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|CZ","Without sequence","56.08","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|CZ","Without sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|CZ","Without sequence","44.39","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|CZ","Without sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|CZ","Without sequence","71.36","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|CZ","Without sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|CZ","Without sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|CZ","Without sequence","146.39","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|CZ","Without sequence","147.87","",""
