"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|SK","Without sequence","16.5","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|SK","Without sequence","15.5","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|SK","Without sequence","14.0","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|SK","Without sequence","10.01","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|SK","Without sequence","8.97","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|SK","Without sequence","12.23","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|SK","Without sequence","12.1","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|SK","Without sequence","14.0","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|SK","Without sequence","5.0","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|SK","Without sequence","10.01","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|SK","Without sequence","14.5","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|SK","Without sequence","5.0","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|SK","Without sequence","6.0","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|SK","Without sequence","11.05","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|SK","Without sequence","21.0","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|SK","Without sequence","25.0","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|SK","Without sequence","31.2","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|SK","Without sequence","34.02","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|SK","Without sequence","35.0","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|SK","Without sequence","34.5","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|SK","Without sequence","34.03","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|SK","Without sequence","30.0","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|SK","Without sequence","28.13","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|SK","Without sequence","21.8","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|SK","Without sequence","0.01","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|SK","Without sequence","1.0","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|SK","Without sequence","0.01","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|SK","Without sequence","0.01","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|SK","Without sequence","2.01","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|SK","Without sequence","1.0","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|SK","Without sequence","0.01","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|SK","Without sequence","1.0","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|SK","Without sequence","5.11","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|SK","Without sequence","22.0","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|SK","Without sequence","41.29","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|SK","Without sequence","51.08","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|SK","Without sequence","51.09","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|SK","Without sequence","61.93","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|SK","Without sequence","50.0","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|SK","Without sequence","53.04","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|SK","Without sequence","100.0","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|SK","Without sequence","64.83","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|SK","Without sequence","58.02","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|SK","Without sequence","32.29","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|SK","Without sequence","35.08","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|SK","Without sequence","22.0","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|SK","Without sequence","22.0","",""
