"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SK","Without sequence","50.05","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SK","Without sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SK","Without sequence","43.22","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SK","Without sequence","45.46","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SK","Without sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|SK","Without sequence","39.7","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|SK","Without sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|SK","Without sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|SK","Without sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|SK","Without sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|SK","Without sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|SK","Without sequence","84.1","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|SK","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|SK","Without sequence","96.8","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|SK","Without sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|SK","Without sequence","101.0","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|SK","Without sequence","126.6","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|SK","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|SK","Without sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|SK","Without sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|SK","Without sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|SK","Without sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|SK","Without sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|SK","Without sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|SK","Without sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|SK","Without sequence","52.59","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|SK","Without sequence","48.97","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|SK","Without sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|SK","Without sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|SK","Without sequence","33.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|SK","Without sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|SK","Without sequence","41.8","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|SK","Without sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|SK","Without sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|SK","Without sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|SK","Without sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|SK","Without sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|SK","Without sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|SK","Without sequence","65.19","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|SK","Without sequence","81.09","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|SK","Without sequence","88.46","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|SK","Without sequence","95.4","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|SK","Without sequence","86.71","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|SK","Without sequence","71.72","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|SK","Without sequence","56.73","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|SK","Without sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|SK","Without sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|SK","Without sequence","32.93","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|SK","Without sequence","20.89","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|SK","Without sequence","9.7","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|SK","Without sequence","9.7","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|SK","Without sequence","7.07","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|SK","Without sequence","8.99","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|SK","Without sequence","15.34","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|SK","Without sequence","80.0","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|SK","Without sequence","102.48","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|SK","Without sequence","131.47","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|SK","Without sequence","135.53","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|SK","Without sequence","107.46","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|SK","Without sequence","110.08","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|SK","Without sequence","119.78","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|SK","Without sequence","117.0","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|SK","Without sequence","111.57","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|SK","Without sequence","111.39","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|SK","Without sequence","124.51","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|SK","Without sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|SK","Without sequence","138.0","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|SK","Without sequence","117.64","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|SK","Without sequence","117.71","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|SK","Without sequence","95.95","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|SK","Without sequence","105.68","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|SK","Without sequence","95.26","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|SK","Without sequence","103.7","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|SK","Without sequence","108.27","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|SK","Without sequence","105.92","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|SK","Without sequence","103.41","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|SK","Without sequence","102.71","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|SK","Without sequence","114.23","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|SK","Without sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|SK","Without sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|SK","Without sequence","178.91","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|SK","Without sequence","190.0","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|SK","Without sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|SK","Without sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|SK","Without sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|SK","Without sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|SK","Without sequence","179.0","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|SK","Without sequence","180.93","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|SK","Without sequence","166.69","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|SK","Without sequence","189.88","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|SK","Without sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|SK","Without sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|SK","Without sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|SK","Without sequence","140.92","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|SK","Without sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|SK","Without sequence","97.56","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|SK","Without sequence","105.31","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|SK","Without sequence","97.29","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|SK","Without sequence","84.5","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|SK","Without sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|SK","Without sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|SK","Without sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|SK","Without sequence","118.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|SK","Without sequence","124.69","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|SK","Without sequence","147.74","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|SK","Without sequence","147.18","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|SK","Without sequence","138.56","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|SK","Without sequence","129.99","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|SK","Without sequence","131.97","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|SK","Without sequence","130.67","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|SK","Without sequence","134.6","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|SK","Without sequence","146.61","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|SK","Without sequence","161.18","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|SK","Without sequence","170.0","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|SK","Without sequence","139.88","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|SK","Without sequence","135.75","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|SK","Without sequence","119.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|SK","Without sequence","98.09","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|SK","Without sequence","118.71","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|SK","Without sequence","99.68","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|SK","Without sequence","99.85","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|SK","Without sequence","101.32","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|SK","Without sequence","110.01","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|SK","Without sequence","111.55","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|SK","Without sequence","123.37","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|SK","Without sequence","149.94","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|SK","Without sequence","185.92","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|SK","Without sequence","228.25","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|SK","Without sequence","228.92","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|SK","Without sequence","212.9","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|SK","Without sequence","215.5","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|SK","Without sequence","231.9","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|SK","Without sequence","226.0","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|SK","Without sequence","209.2","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|SK","Without sequence","216.06","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|SK","Without sequence","230.77","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|SK","Without sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|SK","Without sequence","274.11","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|SK","Without sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|SK","Without sequence","245.48","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|SK","Without sequence","226.14","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|SK","Without sequence","208.31","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|SK","Without sequence","178.75","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|SK","Without sequence","124.7","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|SK","Without sequence","128.92","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|SK","Without sequence","118.4","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|SK","Without sequence","103.01","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|SK","Without sequence","101.91","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|SK","Without sequence","101.98","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|SK","Without sequence","114.99","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|SK","Without sequence","140.19","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|SK","Without sequence","170.53","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|SK","Without sequence","175.66","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|SK","Without sequence","161.85","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|SK","Without sequence","161.37","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|SK","Without sequence","166.06","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|SK","Without sequence","166.54","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|SK","Without sequence","166.04","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|SK","Without sequence","169.43","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|SK","Without sequence","189.7","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|SK","Without sequence","201.97","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|SK","Without sequence","243.11","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|SK","Without sequence","253.81","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|SK","Without sequence","237.05","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|SK","Without sequence","224.33","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|SK","Without sequence","213.81","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|SK","Without sequence","185.94","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|SK","Without sequence","148.32","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|SK","Without sequence","164.17","",""
