"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SK","Without sequence","45.54","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SK","Without sequence","41.59","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|SK","Without sequence","40.05","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|SK","Without sequence","36.9","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|SK","Without sequence","34.47","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|SK","Without sequence","32.82","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|SK","Without sequence","27.7","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|SK","Without sequence","15.0","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|SK","Without sequence","8.43","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|SK","Without sequence","20.77","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|SK","Without sequence","27.7","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|SK","Without sequence","38.91","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|SK","Without sequence","41.78","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|SK","Without sequence","41.3","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|SK","Without sequence","42.74","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|SK","Without sequence","43.06","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|SK","Without sequence","49.33","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|SK","Without sequence","54.81","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|SK","Without sequence","55.0","",""
