"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|LT","Without sequence","24.03","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|LT","Without sequence","24.03","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|LT","Without sequence","24.02","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|LT","Without sequence","23.19","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|LT","Without sequence","24.1","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|LT","Without sequence","25.01","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|LT","Without sequence","25.62","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|LT","Without sequence","25.87","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|LT","Without sequence","26.18","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|LT","Without sequence","25.74","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|LT","Without sequence","26.89","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|LT","Without sequence","27.48","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|LT","Without sequence","28.04","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|LT","Without sequence","28.7","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|LT","Without sequence","29.66","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|LT","Without sequence","30.38","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|LT","Without sequence","30.8","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|LT","Without sequence","30.93","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|LT","Without sequence","30.78","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|LT","Without sequence","30.51","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|LT","Without sequence","30.19","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|LT","Without sequence","29.94","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|LT","Without sequence","29.65","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|LT","Without sequence","29.36","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|LT","Without sequence","29.4","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|LT","Without sequence","28.91","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|LT","Without sequence","28.11","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|LT","Without sequence","27.89","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|LT","Without sequence","28.26","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|LT","Without sequence","30.43","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|LT","Without sequence","32.85","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|LT","Without sequence","33.91","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|LT","Without sequence","34.87","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|LT","Without sequence","35.22","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|LT","Without sequence","35.41","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|LT","Without sequence","35.07","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|LT","Without sequence","34.85","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|LT","Without sequence","34.7","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|LT","Without sequence","34.8","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|LT","Without sequence","35.93","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|LT","Without sequence","37.52","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|LT","Without sequence","40.01","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|LT","Without sequence","39.17","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|LT","Without sequence","35.52","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|LT","Without sequence","35.23","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|LT","Without sequence","34.74","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|LT","Without sequence","32.99","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|LT","Without sequence","30.94","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|LT","Without sequence","30.65","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|LT","Without sequence","30.37","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|LT","Without sequence","30.15","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|LT","Without sequence","30.14","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|LT","Without sequence","30.4","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|LT","Without sequence","32.24","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|LT","Without sequence","33.5","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|LT","Without sequence","35.8","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|LT","Without sequence","36.78","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|LT","Without sequence","36.17","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|LT","Without sequence","35.4","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|LT","Without sequence","34.92","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|LT","Without sequence","34.81","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|LT","Without sequence","34.09","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|LT","Without sequence","34.25","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|LT","Without sequence","34.51","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|LT","Without sequence","34.95","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|LT","Without sequence","34.59","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|LT","Without sequence","34.06","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|LT","Without sequence","32.93","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|LT","Without sequence","31.8","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|LT","Without sequence","30.51","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|LT","Without sequence","29.27","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|LT","Without sequence","28.46","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|LT","Without sequence","25.93","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|LT","Without sequence","25.41","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|LT","Without sequence","25.35","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|LT","Without sequence","25.45","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|LT","Without sequence","25.97","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|LT","Without sequence","27.87","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|LT","Without sequence","28.92","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|LT","Without sequence","30.65","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|LT","Without sequence","32.13","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|LT","Without sequence","33.27","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|LT","Without sequence","33.52","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|LT","Without sequence","33.93","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|LT","Without sequence","33.93","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|LT","Without sequence","33.94","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|LT","Without sequence","34.15","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|LT","Without sequence","35.3","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|LT","Without sequence","36.28","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|LT","Without sequence","36.81","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|LT","Without sequence","35.55","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|LT","Without sequence","34.5","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|LT","Without sequence","33.89","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|LT","Without sequence","33.02","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|LT","Without sequence","32.33","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|LT","Without sequence","29.86","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|LT","Without sequence","23.44","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|LT","Without sequence","23.11","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|LT","Without sequence","23.04","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|LT","Without sequence","23.04","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|LT","Without sequence","30.23","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|LT","Without sequence","32.45","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|LT","Without sequence","34.87","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|LT","Without sequence","42.07","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|LT","Without sequence","43.38","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|LT","Without sequence","42.04","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|LT","Without sequence","43.04","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|LT","Without sequence","44.54","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|LT","Without sequence","44.56","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|LT","Without sequence","44.66","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|LT","Without sequence","44.99","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|LT","Without sequence","56.1","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|LT","Without sequence","69.7","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|LT","Without sequence","73.92","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|LT","Without sequence","71.99","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|LT","Without sequence","50.08","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|LT","Without sequence","44.89","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|LT","Without sequence","42.05","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|LT","Without sequence","36.76","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|LT","Without sequence","34.64","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|LT","Without sequence","31.25","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|LT","Without sequence","30.98","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|LT","Without sequence","30.97","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|LT","Without sequence","31.22","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|LT","Without sequence","31.81","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|LT","Without sequence","31.32","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|LT","Without sequence","34.32","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|LT","Without sequence","33.97","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|LT","Without sequence","34.0","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|LT","Without sequence","34.05","",""
