"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|CZ","Without sequence","50.05","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|CZ","Without sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|CZ","Without sequence","43.22","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|CZ","Without sequence","45.46","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|CZ","Without sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|CZ","Without sequence","39.7","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|CZ","Without sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|CZ","Without sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|CZ","Without sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|CZ","Without sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|CZ","Without sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|CZ","Without sequence","84.1","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|CZ","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|CZ","Without sequence","96.8","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|CZ","Without sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|CZ","Without sequence","101.0","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|CZ","Without sequence","126.6","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|CZ","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|CZ","Without sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|CZ","Without sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|CZ","Without sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|CZ","Without sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|CZ","Without sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|CZ","Without sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|CZ","Without sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|CZ","Without sequence","52.59","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|CZ","Without sequence","48.97","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|CZ","Without sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|CZ","Without sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|CZ","Without sequence","33.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|CZ","Without sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|CZ","Without sequence","41.8","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|CZ","Without sequence","48.95","",""
