"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|LT","Without sequence","50.05","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|LT","Without sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|LT","Without sequence","42.18","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|LT","Without sequence","44.37","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|LT","Without sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|LT","Without sequence","39.7","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|LT","Without sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|LT","Without sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|LT","Without sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|LT","Without sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|LT","Without sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|LT","Without sequence","84.1","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|LT","Without sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|LT","Without sequence","96.8","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|LT","Without sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|LT","Without sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|LT","Without sequence","126.6","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|LT","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|LT","Without sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|LT","Without sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|LT","Without sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|LT","Without sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|LT","Without sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|LT","Without sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|LT","Without sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|LT","Without sequence","55.09","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|LT","Without sequence","52.82","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|LT","Without sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|LT","Without sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|LT","Without sequence","53.01","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|LT","Without sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|LT","Without sequence","41.8","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|LT","Without sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|LT","Without sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|LT","Without sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|LT","Without sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|LT","Without sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|LT","Without sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|LT","Without sequence","65.19","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|LT","Without sequence","81.09","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|LT","Without sequence","88.46","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|LT","Without sequence","95.4","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|LT","Without sequence","86.71","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|LT","Without sequence","71.72","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|LT","Without sequence","56.73","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|LT","Without sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|LT","Without sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|LT","Without sequence","32.93","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|LT","Without sequence","20.89","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|LT","Without sequence","19.92","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|LT","Without sequence","19.87","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|LT","Without sequence","19.82","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|LT","Without sequence","20.26","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|LT","Without sequence","29.35","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|LT","Without sequence","80.0","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|LT","Without sequence","106.87","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|LT","Without sequence","131.47","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|LT","Without sequence","135.53","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|LT","Without sequence","107.46","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|LT","Without sequence","110.08","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|LT","Without sequence","119.78","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|LT","Without sequence","117.0","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|LT","Without sequence","111.57","",""
