"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|SK","Without sequence","159.92","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|SK","Without sequence","169.17","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|SK","Without sequence","171.18","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|SK","Without sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|SK","Without sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|SK","Without sequence","164.5","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|SK","Without sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|SK","Without sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|SK","Without sequence","171.36","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|SK","Without sequence","169.14","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|SK","Without sequence","178.59","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|SK","Without sequence","170.1","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|SK","Without sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|SK","Without sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|SK","Without sequence","137.39","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|SK","Without sequence","123.7","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|SK","Without sequence","111.7","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|SK","Without sequence","101.38","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|SK","Without sequence","84.0","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|SK","Without sequence","77.87","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|SK","Without sequence","74.11","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|SK","Without sequence","86.84","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|SK","Without sequence","114.31","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|SK","Without sequence","220.52","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|SK","Without sequence","189.43","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|SK","Without sequence","174.09","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|SK","Without sequence","180.09","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|SK","Without sequence","183.83","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|SK","Without sequence","174.13","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|SK","Without sequence","169.41","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|SK","Without sequence","172.0","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|SK","Without sequence","216.43","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|SK","Without sequence","255.36","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|SK","Without sequence","275.34","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|SK","Without sequence","237.37","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|SK","Without sequence","252.11","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|SK","Without sequence","250.9","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|SK","Without sequence","276.56","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|SK","Without sequence","213.82","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|SK","Without sequence","207.22","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|SK","Without sequence","162.5","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|SK","Without sequence","168.67","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|SK","Without sequence","144.3","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|SK","Without sequence","86.46","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|SK","Without sequence","86.79","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|SK","Without sequence","70.0","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|SK","Without sequence","88.9","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|SK","Without sequence","149.23","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|SK","Without sequence","129.98","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|SK","Without sequence","135.29","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|SK","Without sequence","144.97","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|SK","Without sequence","141.4","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|SK","Without sequence","145.8","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|SK","Without sequence","142.35","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|SK","Without sequence","142.74","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|SK","Without sequence","151.03","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|SK","Without sequence","159.48","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|SK","Without sequence","172.73","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|SK","Without sequence","193.08","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|SK","Without sequence","194.67","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|SK","Without sequence","177.98","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|SK","Without sequence","163.99","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|SK","Without sequence","152.0","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|SK","Without sequence","144.64","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|SK","Without sequence","127.0","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|SK","Without sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|SK","Without sequence","101.1","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|SK","Without sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|SK","Without sequence","82.97","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|SK","Without sequence","86.97","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|SK","Without sequence","94.82","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|SK","Without sequence","102.54","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|SK","Without sequence","133.37","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|SK","Without sequence","142.08","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|SK","Without sequence","133.36","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|SK","Without sequence","130.04","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|SK","Without sequence","122.24","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|SK","Without sequence","122.22","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|SK","Without sequence","116.09","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|SK","Without sequence","137.41","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|SK","Without sequence","147.32","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|SK","Without sequence","164.11","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|SK","Without sequence","155.93","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|SK","Without sequence","163.5","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|SK","Without sequence","146.74","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|SK","Without sequence","139.62","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|SK","Without sequence","135.56","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|SK","Without sequence","129.94","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|SK","Without sequence","120.63","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|SK","Without sequence","105.86","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|SK","Without sequence","102.94","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|SK","Without sequence","97.53","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|SK","Without sequence","91.35","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|SK","Without sequence","90.36","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|SK","Without sequence","100.66","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|SK","Without sequence","111.42","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|SK","Without sequence","120.33","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|SK","Without sequence","137.68","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|SK","Without sequence","151.32","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|SK","Without sequence","142.06","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|SK","Without sequence","144.19","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|SK","Without sequence","140.82","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|SK","Without sequence","132.69","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|SK","Without sequence","145.24","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|SK","Without sequence","167.4","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|SK","Without sequence","184.08","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|SK","Without sequence","190.15","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|SK","Without sequence","185.62","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|SK","Without sequence","175.74","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|SK","Without sequence","149.33","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|SK","Without sequence","132.59","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|SK","Without sequence","128.82","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|SK","Without sequence","89.7","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|SK","Without sequence","80.74","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|SK","Without sequence","79.34","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|SK","Without sequence","68.95","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|SK","Without sequence","53.34","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|SK","Without sequence","68.08","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|SK","Without sequence","66.02","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|SK","Without sequence","73.89","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|SK","Without sequence","82.18","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|SK","Without sequence","90.92","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|SK","Without sequence","103.49","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|SK","Without sequence","105.62","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|SK","Without sequence","103.87","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|SK","Without sequence","101.69","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|SK","Without sequence","99.0","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|SK","Without sequence","104.29","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|SK","Without sequence","109.55","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|SK","Without sequence","132.47","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|SK","Without sequence","140.87","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|SK","Without sequence","130.82","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|SK","Without sequence","127.01","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|SK","Without sequence","127.21","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|SK","Without sequence","109.48","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|SK","Without sequence","100.64","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|SK","Without sequence","81.31","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|SK","Without sequence","75.13","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|SK","Without sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|SK","Without sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|SK","Without sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|SK","Without sequence","50.21","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|SK","Without sequence","78.11","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|SK","Without sequence","118.14","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|SK","Without sequence","168.51","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|SK","Without sequence","180.0","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|SK","Without sequence","179.4","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|SK","Without sequence","171.85","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|SK","Without sequence","176.94","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|SK","Without sequence","173.61","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|SK","Without sequence","175.36","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|SK","Without sequence","172.19","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|SK","Without sequence","179.64","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|SK","Without sequence","184.36","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|SK","Without sequence","185.82","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|SK","Without sequence","182.18","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|SK","Without sequence","179.97","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|SK","Without sequence","167.45","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|SK","Without sequence","141.09","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|SK","Without sequence","132.0","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|SK","Without sequence","108.31","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|SK","Without sequence","106.26","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|SK","Without sequence","96.1","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|SK","Without sequence","93.82","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|SK","Without sequence","91.37","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|SK","Without sequence","95.7","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|SK","Without sequence","108.6","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|SK","Without sequence","145.81","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|SK","Without sequence","176.5","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|SK","Without sequence","183.06","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|SK","Without sequence","179.99","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|SK","Without sequence","176.55","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|SK","Without sequence","172.24","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|SK","Without sequence","169.5","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|SK","Without sequence","170.02","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|SK","Without sequence","171.78","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|SK","Without sequence","173.01","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|SK","Without sequence","170.14","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|SK","Without sequence","174.78","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|SK","Without sequence","171.91","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|SK","Without sequence","165.26","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|SK","Without sequence","155.89","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|SK","Without sequence","131.35","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|SK","Without sequence","116.28","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|SK","Without sequence","81.71","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|SK","Without sequence","27.83","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|SK","Without sequence","9.3","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|SK","Without sequence","13.63","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|SK","Without sequence","3.39","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|SK","Without sequence","22.95","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|SK","Without sequence","88.19","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|SK","Without sequence","171.34","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|SK","Without sequence","215.39","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|SK","Without sequence","222.97","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|SK","Without sequence","200.03","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|SK","Without sequence","185.92","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|SK","Without sequence","172.34","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|SK","Without sequence","177.16","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|SK","Without sequence","165.98","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|SK","Without sequence","173.88","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|SK","Without sequence","172.2","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|SK","Without sequence","182.89","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|SK","Without sequence","182.34","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|SK","Without sequence","173.79","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|SK","Without sequence","186.53","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|SK","Without sequence","178.86","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|SK","Without sequence","149.66","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|SK","Without sequence","147.26","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|SK","Without sequence","124.98","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|SK","Without sequence","135.21","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|SK","Without sequence","128.75","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|SK","Without sequence","101.64","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|SK","Without sequence","107.03","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|SK","Without sequence","101.82","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|SK","Without sequence","117.73","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|SK","Without sequence","172.63","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|SK","Without sequence","194.8","",""
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","BZN|SK","Without sequence","217.8","",""
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","BZN|SK","Without sequence","209.62","",""
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","BZN|SK","Without sequence","195.07","",""
"12/01/2023 11:00:00 - 12/01/2023 12:00:00","BZN|SK","Without sequence","181.27","",""
"12/01/2023 12:00:00 - 12/01/2023 13:00:00","BZN|SK","Without sequence","178.01","",""
"12/01/2023 13:00:00 - 12/01/2023 14:00:00","BZN|SK","Without sequence","177.52","",""
"12/01/2023 14:00:00 - 12/01/2023 15:00:00","BZN|SK","Without sequence","177.94","",""
"12/01/2023 15:00:00 - 12/01/2023 16:00:00","BZN|SK","Without sequence","162.89","",""
"12/01/2023 16:00:00 - 12/01/2023 17:00:00","BZN|SK","Without sequence","178.56","",""
"12/01/2023 17:00:00 - 12/01/2023 18:00:00","BZN|SK","Without sequence","165.68","",""
