Metryka,"Stabilny (2019, pełny)","Stabilny (2019, skrócony)","Niestabilny (2023, pełny)","Niestabilny (2023, skrócony)"
MAE (PLN/MWh),19.02,23.64,128.15,140.19
RMSE (PLN/MWh),24.76,29.36,154.29,167.06
MAPE (%),9.45,12.04,1645.04,338.22
sMAPE (%),8.77,10.7,33.8,45.09
R2,0.75,0.65,0.26,0.13
