Metryka,"Stabilny (2019, pełny)","Stabilny (2019, skrócony)","Niestabilny (2023, pełny)","Niestabilny (2023, skrócony)"
MAE (PLN/MWh),28.02,34.51,109.16,91.45
RMSE (PLN/MWh),35.33,42.49,133.9,111.97
MAPE (%),14.2,16.3,2700.75,1859.95
sMAPE (%),12.39,14.23,26.2,22.61
R2,0.49,0.27,0.44,0.61
