Metryka,"Stabilny (2019, pełny)","Stabilny (2019, skrócony)","Niestabilny (2023, pełny)","Niestabilny (2023, skrócony)"
MAE (PLN/MWh),24.43,59.03,114.37,194.03
RMSE (PLN/MWh),31.8,85.42,146.54,228.71
MAPE (%),11.93,25.2,1976.81,2860.41
sMAPE (%),10.66,20.64,25.65,36.81
R2,0.59,-1.96,0.33,-0.64
