doba,udtczas,obciazenie,udtczas_oreb,business_date,source_datetime
2024-06-14,2024-06-14 12:00:00,19357.773,11:45 - 12:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 12:15:00,19436.312,12:00 - 12:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 12:30:00,19821.266,12:15 - 12:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 12:45:00,19904.197,12:30 - 12:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 13:00:00,19693.059,12:45 - 13:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 13:15:00,19847.453,13:00 - 13:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 13:30:00,19804.617,13:15 - 13:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 13:45:00,19542.22,13:30 - 13:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 14:00:00,19075.809,13:45 - 14:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 14:15:00,19454.46,14:00 - 14:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 14:30:00,19672.219,14:15 - 14:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 14:45:00,19890.633,14:30 - 14:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 15:00:00,19407.846,14:45 - 15:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 15:15:00,19618.43,15:00 - 15:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 15:30:00,19786.53,15:15 - 15:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 15:45:00,19881.338,15:30 - 15:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 16:00:00,20086.064,15:45 - 16:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 16:15:00,19731.873,16:00 - 16:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 16:30:00,19919.14,16:15 - 16:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 16:45:00,19810.322,16:30 - 16:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 17:00:00,19978.2,16:45 - 17:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 17:15:00,19872.059,17:00 - 17:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 17:30:00,19795.092,17:15 - 17:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 17:45:00,19848.97,17:30 - 17:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 18:00:00,19595.748,17:45 - 18:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 18:15:00,19707.834,18:00 - 18:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 18:30:00,19768.588,18:15 - 18:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 18:45:00,19791.982,18:30 - 18:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 19:00:00,19959.344,18:45 - 19:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 19:15:00,19845.33,19:00 - 19:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 19:30:00,19961.113,19:15 - 19:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 19:45:00,20136.43,19:30 - 19:45,2024-06-14,2025-01-30 15:15:10.598
